章名称,名称cn,级别,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
搜集种火,枪·杀篇,初级,10,敌人1|黎明之手|黎明之手|枪|10|1428,敌人1|黎明之手|黎明之手|枪|10|1428,敌人1|黎明之手|黎明之手|枪|10|1428,敌人1|黎明之手|黎明之手|枪|10|1428,敌人1|黎明之腕|黎明之腕|枪|10|2652,敌人1|黎明之手|黎明之手|枪|10|1428,敌人1|黎明之腕|黎明之腕|枪|10|2652,敌人1|黎明之手|黎明之手|枪|10|1428,敌人1|黎明之腕|黎明之腕|枪|25|4569
搜集种火,枪·杀篇,中级,20,敌人1|黎明之腕|黎明之腕|狂|20|4140,敌人1|黎明之腕|黎明之腕|枪|20|4692,敌人1|黎明之腕|黎明之腕|枪|20|4692,敌人1|黎明之腕|黎明之腕|枪|20|4692,敌人1|黎明之刚腕|黎明之刚腕|枪|20|5140,敌人1|黎明之腕|黎明之腕|枪|20|4692,敌人1|黎明之腕|黎明之腕|枪|20|4692,敌人1|黎明之腕|黎明之腕|枪|20|4692,敌人1|黎明之刚腕|黎明之刚腕|枪|30|7588
搜集种火,枪·杀篇,上级,30,敌人1|黎明之刚腕|黎明之刚腕|狂|30|9039,敌人1|黎明之刚腕|黎明之刚腕|枪|30|10244,敌人1|黎明之刚腕|黎明之刚腕|枪|30|10244,敌人1|黎明之刚腕|黎明之刚腕|枪|30|10244,敌人1|黎明之刚腕|黎明之刚腕|枪|30|10244,敌人1|黎明之刚腕|黎明之刚腕|枪|30|10244,敌人1|黎明之刚腕|黎明之刚腕|枪|30|10244,敌人1|黎明之刚腕|黎明之刚腕|枪|30|10244,敌人1|黎明之神腕|黎明之神腕|枪|40|33323
搜集种火,枪·杀篇,超级,40,敌人1|黎明之神腕|黎明之神腕|枪|40|24684,敌人1|黎明之神腕|黎明之神腕|枪|40|24684,敌人1|黎明之神腕|黎明之神腕|狂|40|21780,敌人1|黎明之神腕|黎明之神腕|枪|40|24684,敌人1|黎明之神腕|黎明之神腕|枪|40|24684,敌人1|黎明之神腕|黎明之神腕|枪|40|24684,敌人1|黎明之神腕|黎明之神腕|枪|40|24684,敌人1|黎明之神腕|黎明之神腕|枪|40|24684,敌人1|黎明之神腕|黎明之神腕|枪|50|30804
搜集种火,剑·骑篇 ,初级,10,敌人1|黎明之手|黎明之手|剑|10|1414,敌人1|黎明之手|黎明之手|剑|10|1414,敌人1|黎明之手|黎明之手|剑|10|1414,敌人1|黎明之手|黎明之手|剑|10|1414,敌人1|黎明之腕|黎明之腕|剑|10|2626,敌人1|黎明之手|黎明之手|剑|10|1414,敌人1|黎明之腕|黎明之腕|剑|10|2626,敌人1|黎明之手|黎明之手|剑|10|1414,敌人1|黎明之腕|黎明之腕|剑|25|4524
搜集种火,剑·骑篇 ,中级,20,敌人1|黎明之腕|黎明之腕|狂|20|4140,敌人1|黎明之腕|黎明之腕|剑|20|4646,敌人1|黎明之腕|黎明之腕|剑|20|4646,敌人1|黎明之腕|黎明之腕|剑|20|4646,敌人1|黎明之刚腕|黎明之刚腕|剑|20|5090,敌人1|黎明之腕|黎明之腕|剑|20|4646,敌人1|黎明之腕|黎明之腕|剑|20|4646,敌人1|黎明之腕|黎明之腕|剑|20|4646,敌人1|黎明之刚腕|黎明之刚腕|剑|30|7514
搜集种火,剑·骑篇 ,上级,30,敌人1|黎明之刚腕|黎明之刚腕|狂|30|16740,敌人1|黎明之刚腕|黎明之刚腕|剑|30|10144,敌人1|黎明之刚腕|黎明之刚腕|剑|30|10144,敌人1|黎明之刚腕|黎明之刚腕|剑|30|10144,敌人1|黎明之刚腕|黎明之刚腕|剑|30|10144,敌人1|黎明之刚腕|黎明之刚腕|剑|30|10144,敌人1|黎明之刚腕|黎明之刚腕|剑|30|10144,敌人1|黎明之刚腕|黎明之刚腕|剑|30|10144,敌人1|黎明之神腕|黎明之神腕|剑|40|32996
搜集种火,剑·骑篇 ,超级,40,敌人1|黎明之神腕|黎明之神腕|剑|40|24442,敌人1|黎明之神腕|黎明之神腕|剑|40|24442,敌人1|黎明之神腕|黎明之神腕|狂|40|21780,敌人1|黎明之神腕|黎明之神腕|剑|40|24442,敌人1|黎明之神腕|黎明之神腕|剑|40|24442,敌人1|黎明之神腕|黎明之神腕|剑|40|24442,敌人1|黎明之神腕|黎明之神腕|剑|40|24442,敌人1|黎明之神腕|黎明之神腕|剑|40|24442,敌人1|黎明之神腕|黎明之神腕|剑|50|30502
搜集种火,弓·术篇 ,初级,10,敌人1|黎明之手|黎明之手|弓|10|1372,敌人1|黎明之手|黎明之手|弓|10|1372,敌人1|黎明之手|黎明之手|弓|10|1372,敌人1|黎明之手|黎明之手|弓|10|1372,敌人1|黎明之腕|黎明之腕|弓|10|2548,敌人1|黎明之手|黎明之手|弓|10|1372,敌人1|黎明之腕|黎明之腕|弓|10|2548,敌人1|黎明之手|黎明之手|弓|10|1372,敌人1|黎明之腕|黎明之腕|弓|25|4390
搜集种火,弓·术篇 ,中级,20,敌人1|黎明之腕|黎明之腕|狂|20|4140,敌人1|黎明之腕|黎明之腕|弓|20|4508,敌人1|黎明之腕|黎明之腕|弓|20|4508,敌人1|黎明之腕|黎明之腕|弓|20|4508,敌人1|黎明之刚腕|黎明之刚腕|弓|20|4939,敌人1|黎明之腕|黎明之腕|弓|20|4508,敌人1|黎明之腕|黎明之腕|弓|20|4508,敌人1|黎明之腕|黎明之腕|弓|20|4508,敌人1|黎明之刚腕|黎明之刚腕|弓|30|7291
