章名称,名称cn,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 新宿,探偵調査_新宿,40,敌人1|迷你信||枪|45|27392,敌人1|魔猪|普通的猪|狂|38|36155,敌人1|魔猪|普通的猪|狂|38|36155,敌人1|魔猪|普通的猪|狂|40|40743,敌人1|迷你信||枪|47|30558,敌人1|迷你信||枪|47|30558,敌人3|迪尔姆德·奥迪那|爱之杂技员|枪|90|124910,敌人1|魔猪|普通的猪|狂|42|51417,敌人1|魔猪|普通的猪|狂|42|51417
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 坂本侦探事务所,探偵調査_坂本探偵事務所,40,敌人1|银之巨大信||骑|42|27234,敌人1|灰狼|野狗|骑|43|35748,敌人1|灰狼|野狗|骑|43|35748,敌人1|银之巨大信||骑|44|31080,敌人1|灰狼|野狗|骑|45|41430,敌人1|银之巨大信||骑|44|31080,敌人3|坂田金时(Rider)|黄金混混|骑|72|103125,敌人1|灰狼|野狗|骑|47|52630,敌人1|灰狼|野狗|骑|47|52630
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 筑地,探偵調査_築地,40,敌人1|近代兵|莽汉|狂|58|36781,敌人1|银之机械信||狂|40|28520,敌人1|近代兵|莽汉|狂|58|36781,敌人1|银之机械信||狂|42|32992,敌人1|近代兵|莽汉|狂|60|43132,敌人1|银之机械信||狂|42|32992,敌人1|近代兵|莽汉|狂|62|53442,敌人1|近代兵|莽汉|狂|62|53442,敌人3|诸葛孔明〔埃尔梅罗Ⅱ世〕|超级特工|术|60|102042
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 高圆寺,探偵調査_高円寺,40,敌人1|银之迷你信||杀|50|31161,敌人1|失心之人|歹徒|杀|46|36219,敌人1|失心罪人|杀手|狂|42|39692,敌人1|失心之人|歹徒|杀|48|46874,敌人1|银之迷你信||杀|52|32385,敌人1|银之迷你信||杀|52|32385,敌人1|失心之人|歹徒|杀|50|57294,敌人3|亨利·杰基尔＆海德|烦恼的工读生|杀|90|107703,敌人1|失心罪人|杀手|狂|44|59003
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 目黑不动,探偵調査_目黒不動,40,敌人1|金之巨大信||杀|43|30079,敌人1|鬼魂|古井之灵|杀|40|37655,敌人1|恐怖鬼魂|古屋之灵|杀|34|39468,敌人1|金之巨大信||杀|45|34052,敌人1|金之巨大信||杀|45|34052,敌人1|鬼魂|古井之灵|杀|42|48879,敌人1|鬼魂|古井之灵|杀|44|56000,敌人3|剧院魅影|怪人II面相|杀|90|104975,敌人1|恐怖鬼魂|古屋之灵|杀|37|58022
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 目青不动,探偵調査_目青不動,40,敌人1|黑武者|无法之徒|枪|25|38113,敌人1|黑武者|无法之徒|枪|25|38113,敌人1|金之机械信||狂|40|31372,敌人1|金之机械信||狂|42|32992,敌人1|黑武者|无法之徒|枪|27|47748,敌人1|金之机械信||狂|42|32992,敌人3|宝藏院胤舜|武打指导|枪|90|106330,敌人1|黑武者|无法之徒|枪|29|57567,敌人1|黑武者|无法之徒|枪|29|57567
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 江古田,探偵調査_江古田,40,敌人1|金之迷你信||术|46|30697,敌人1|流氓|地产商|术|39|37904,敌人1|流氓|地产商|术|39|37904,敌人1|金之迷你信||术|48|32937,敌人1|流氓|地产商|术|41|46916,敌人1|金之迷你信||术|48|32937,敌人1|流氓|地产商|术|43|58953,敌人1|流氓|地产商|术|43|58953,敌人3|玉藻前|夜樱漫游美人妻|术|72|106092
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 目白不动,探偵調査_目白不動,40,敌人1|信选组||剑|38|33968,敌人1|近代兵|莽汉|剑|53|40278,敌人1|近代兵|莽汉|狂|60|41407,敌人1|信选组||剑|40|35696,敌人1|信选组||剑|40|35696,敌人1|近代兵|莽汉|剑|55|50609,敌人1|近代兵|莽汉|剑|57|61540,敌人3|铃鹿御前|白拍子JK|剑|72|122331,敌人1|近代兵|莽汉|狂|64|61160
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 芝公园,探偵調査_芝公園,40,敌人1|魔猪|普通的猪|狂|40|40743,敌人1|魔猪|普通的猪|狂|40|40743,敌人1|银之机械信||狂|43|32536,敌人1|银之机械信||狂|45|35308,敌人1|魔猪|普通的猪|狂|42|51417,敌人1|银之机械信||狂|45|35308,敌人3|玉藻猫|猫咪大姐|狂|73|141806,敌人1|魔猪|普通的猪|狂|44|62794,敌人1|魔猪|普通的猪|狂|44|62794
复刻：唠唠叨叨帝都圣杯奇谭 轻量版,侦探调查 田端,探偵調査_田端,40,敌人1|信UFO||骑|37|32201,敌人1|灰狼|野狗|骑|46|40593,敌人1|灰狼|野狗|骑|46|40593,敌人1|灰狼|野狗|骑|48|52794,敌人1|信UFO||骑|39|35042,敌人1|信UFO||骑|39|35042,敌人1|灰狼|野狗|骑|50|63987,敌人3|安妮·伯妮＆玛莉·瑞德|可爱搭档|骑|90|124800,敌人1|灰狼|野狗|骑|50|63987
