章名称,名称cn,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
淑女·莱妮丝事件簿,拼缀物探索 童话博物馆,パッチワーク探索_おとぎ博物館,40,敌人1|豹人|童话豹人|术|29|27918,敌人1|古董自动人偶|古董自动人偶|骑|40|40289,敌人1|豹人|童话豹人|术|28|26973,敌人1|哥布林|童话豹人|术|33|35325,敌人1|哥布林|童话豹人|术|34|36375,敌人1|古董自动人偶|古董自动人偶|骑|42|42337,敌人1|古董自动人偶|古董自动人偶|骑|45|50292,敌人2|凝视者|童话凝视者|术|47|98319,敌人1|古董自动人偶|古董自动人偶|骑|45|50292
淑女·莱妮丝事件簿,拼缀物探索 伦敦塔,パッチワーク探索_ロンドン塔,40,敌人1|面具鬼魂|面具鬼魂|术|40|25135,敌人1|面具鬼魂|面具鬼魂|术|40|25135,敌人1|面具自动人偶|面具自动人偶|术|32|38483,敌人1|面具自动人偶|面具自动人偶|术|34|40841,敌人1|面具鬼魂|面具鬼魂|术|43|36846,敌人1|面具自动人偶|面具自动人偶|术|34|40841,敌人2|秽神|暗影舞者|术|43|110746,敌人1|面具自动人偶|面具自动人偶|术|36|43198,敌人1|面具鬼魂|面具鬼魂|术|45|38505
淑女·莱妮丝事件簿,拼缀物探索 蒸汽城,パッチワーク探索_蒸気城,40,敌人1|蒸汽鬼魂||骑|33|27340,敌人1|蒸汽鬼魂||骑|33|27340,敌人1|混沌机械兵_小|蒸汽机器|骑|43|36375,敌人1|混沌机械兵_小|蒸汽机器|骑|43|39173,敌人1|混沌机械兵_中|蒸汽机器|骑|36|45015,敌人1|蒸汽鬼魂||骑|35|31380,敌人1|混沌机械兵_中|蒸汽机器|骑|40|48009,敌人1|蒸汽鬼魂|蒸汽鬼魂|骑|38|35067,敌人2|蒸汽巨大鬼魂|蒸汽巨大鬼魂|骑|26|104123
淑女·莱妮丝事件簿,记忆再演 『无人岛漂流记』,記憶再演_『無人島漂流記』,40,敌人1|大寄居蟹||剑|40|26028,敌人1|大寄居蟹||剑|42|30086,,敌人1|大寄居蟹||剑|43|39173,敌人1|破坏兽|冰寄居蟹|剑|48|44914,敌人1|大寄居蟹||剑|44|40055,敌人2|毒寄居蟹||剑|36|114875,敌人1|大寄居蟹||剑|46|80651,敌人1|古董自动人偶||剑|32|10830
淑女·莱妮丝事件簿,记忆再演 『糖果之国』,記憶再演_『お菓子の国』,40,敌人1|饼干魔偶||狂|49|31839,敌人1|饼干魔偶||狂|50|34636,敌人1|饼干魔偶||狂|51|37587,敌人3|骑士迪昂|伪迪昂|剑|80|82187,敌人1|饼干魔偶||狂|52|40556,敌人1|饼干魔偶||狂|53|43609,,敌人3|俄刻阿诺斯的Caster|休刻翁魔偶|狂|68|104759,敌人1|古董自动人偶||狂|32|10830
淑女·莱妮丝事件簿,记忆再演 『整修庭院』,記憶再演_『庭の手入れ』,40,敌人1|魔猿||杀|45|18860,敌人1|斩首鸡|地狱极乐鸟|杀|42|25069,敌人1|魔猿||杀|46|19266,敌人3|玉藻猫|魔猫|狂|65|65647,敌人1|斩首鸡|地狱极乐鸟|杀|44|32779,敌人2|许德拉|血池之主|杀|55|72969,敌人1|斩首鸡王|地狱极乐鸟|杀|35|42472,敌人3|克娄巴特拉|高耸的建筑物呢！|杀|68|98254,敌人1|古董自动人偶|古董自动人偶|杀|32|10830
淑女·莱妮丝事件簿,记忆再演 『转一转！ONILAND11外景』,記憶再演_『まわる！　ONILAND11ロケ』,40,敌人1|近代兵僵尸|晕高的恶棍|术|51|27515,敌人1|近代兵僵尸|晕高的恶棍|术|52|28020,敌人1|近代兵僵尸|晕高的恶棍|狂|45|25896,敌人3|坂田金时(Rider)|足柄山的黄金|术|80|77760,敌人1|近代兵僵尸|晕高的恶棍|狂|47|32356,敌人2|恶魔|恶棍团伙的头目|术|37|72060,敌人1|面具鬼魂|面具鬼魂|术|31|11617,敌人1|近代兵僵尸|晕高的恶棍|狂|49|42048,敌人3|葛饰北斋|绝景乎绝景乎|降|56|98090
淑女·莱妮丝事件簿,记忆再演 『寂静之地』,記憶再演_『サイレントフィールド』,40,敌人1|混沌机械兵_中|战斗机器人|剑|37|23714,敌人1|混沌机械兵_大|战斗机器人|剑|35|29127,敌人1|毒寄居蟹||剑|32|23258}}{{敌人1|混沌机械兵_中|战斗机器人|剑|36|23084,敌人3|加藤段藏|忍者机器人|剑|80|77385,敌人1|毒寄居蟹||剑|34|32087}}{{敌人1|混沌机械兵_中|战斗机器人|剑|38|32256,敌人1|毒寄居蟹||剑|36|33940}}{{敌人1|混沌机械兵_中|战斗机器人|剑|40|33926,敌人3|迦尔纳|难以忘怀的魔影|狂|71|70098,敌人3|贞德〔Alter〕|废墟中的魅力|仇|51|110264,敌人1|面具鬼魂|面具鬼魂|剑|31|11617
淑女·莱妮丝事件簿,记忆再演 『伪美术馆巡游』,記憶再演_『偽美術館巡り』,40,敌人1|魔偶|魔偶（真）|狂|39|23085}}{{敌人1|雪人|魔偶（伪）|狂|37|22943,敌人1|金属魔偶|魔偶（真）|狂|35|29172}}{{敌人1|巨型雪人|魔偶（伪）|狂|31|29370,敌人1|魔偶|魔偶（真）|狂|39|23085}}{{敌人1|雪人|魔偶（伪）|狂|37|22943,敌人1|金属魔偶|魔偶（真）|狂|35|30014}}{{敌人1|巨型雪人|魔偶（伪）|狂|32|30298,敌人1|金属魔偶|魔偶（真）|狂|35|30014}}{{敌人1|巨型雪人|魔偶（伪）|狂|32|30298,敌人3|豹人|野生的豹人（正）|狂|70|86337,敌人3|贝奥武夫|贝奥武夫（真）|狂|52|127547}}{{敌人3|弗格斯·马克·罗伊|贝奥武夫（伪）|狂|68|127993,敌人1|奇美拉||狂|28|50898,敌人1|面具鬼魂|面具鬼魂|狂|31|11617
淑女·莱妮丝事件簿,记忆再演 『无礼的圣诞节』,記憶再演_『不敬なクリスマス』,40,敌人1|火焰咒书|玩具目录|术|40|23661,敌人1|疾风咒书|趣味目录|术|41|24301,敌人1|魔导书|礼物目录|术|43|31587,敌人1|疾风咒书|趣味目录|术|43|31832,敌人1|伊夫利塔|蜡烛火|术|36|73626,敌人1|火焰咒书|玩具目录|术|43|31832,敌人1|蒸汽鬼魂|蒸汽鬼魂|术|38|31404,敌人3|尼托克丽丝|黑水|术|80|141100,敌人3|赤兔马|超级赤兔马人|术|70|92250
淑女·莱妮丝事件簿,记忆再演 『启程的墓地』,記憶再演_『旅立ちの墓場』,40,敌人1|翅刃虫|虫群|骑|50|22284,敌人1|翅刃虫|虫群|骑|53|29534,敌人1|翅刃虫|虫群|骑|51|22760,敌人1|双角兽|暗淡兽|枪|38|81239,敌人1|翅刃群虫|雾虫群|骑|36|32610,敌人1|蒸汽鬼魂|蒸汽鬼魂|骑|38|31404,敌人3|齐格飞|次次都很对不起|骑|80|84990,敌人1|翅刃虫|虫群|骑|39|39315,敌人3|女王梅芙|梅芙|骑|87|142401
