章名称,名称cn,级别,名称jp,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
狩猎关卡 第5弹,骷髅,开位级,スケルトン・ハント_開位級,敌人1|骷髅兵|骷髅兵|枪|49|23192,敌人1|骷髅兵|骷髅兵|枪|50|24174,敌人1|骷髅兵|骷髅兵|枪|49|23192,敌人1|骷髅兵|骷髅兵|枪|49|30605,敌人1|骷髅兵|骷髅兵|枪|50|31728,敌人1|骷髅兵|骷髅兵|枪|49|30605,敌人1|骷髅兵|骷髅兵|枪|49|40242,敌人2|骸骨之王|骷髅兵之王|枪|50|76356,敌人1|骷髅兵|骷髅兵|枪|49|40242
狩猎关卡 第5弹,骷髅,祭位级,スケルトン・ハント_祭位級,敌人1|骷髅兵|骷髅兵|枪|63|31760,敌人1|骷髅兵|骷髅兵|枪|64|34150,敌人1|骷髅兵|骷髅兵|枪|63|31760,敌人1|骷髅兵|骷髅兵|枪|63|41450,敌人1|骷髅兵|骷髅兵|枪|64|43438,敌人1|骷髅兵|骷髅兵|枪|63|41450,敌人1|骷髅兵|骷髅兵|枪|64|54913,敌人2|骸骨之王|骷髅兵之王|枪|59|153237,敌人1|骷髅兵|骷髅兵|枪|64|54913
狩猎关卡 第5弹,骷髅,典位级,スケルトン・ハント_典位級,敌人1|骷髅兵|骷髅兵|枪|75|35779,敌人1|骷髅兵|骷髅兵|枪|73|35257,敌人1|骷髅兵|骷髅兵|枪|75|35779,敌人1|骷髅兵|骷髅兵|枪|76|49922,敌人1|骷髅兵|骷髅兵|枪|77|51363,敌人1|骷髅兵|骷髅兵|枪|76|49922,敌人1|骷髅兵|骷髅兵|枪|79|66004,敌人2|骸骨之王|骷髅兵之王|枪|69|194005,敌人1|骷髅兵|骷髅兵|枪|79|66004
狩猎关卡 第5弹,食尸鬼,开位级,グール・ハント_開位級,敌人1|食尸鬼||狂|42|16194,敌人1|食尸鬼||狂|42|16963,敌人1|食尸鬼||狂|42|16194,敌人1|食尸鬼||狂|43|26066,敌人1|食尸鬼||狂|43|26066,敌人1|食尸鬼·嫉妒||狂|46|28675,敌人1|食尸鬼·嫉妒||狂|46|32375,敌人2|食尸鬼·暴食||狂|55|129168,敌人1|食尸鬼·嫉妒||狂|46|32375
狩猎关卡 第5弹,食尸鬼,祭位级,グール・ハント_祭位級,敌人1|食尸鬼·嫉妒||狂|59|30422,敌人1|食尸鬼||狂|55|27642,敌人1|食尸鬼||狂|55|27642,敌人1|食尸鬼||狂|55|36508,敌人1|食尸鬼·嫉妒||狂|59|38028,敌人1|食尸鬼||狂|55|36508,敌人1|食尸鬼·嫉妒||狂|59|63302,敌人2|食尸鬼·暴食||狂|58|163231,敌人1|食尸鬼·嫉妒||狂|59|63302
狩猎关卡 第5弹,食尸鬼,典位级,グール・ハント_典位級,敌人1|食尸鬼·嫉妒||狂|72|35144,敌人1|食尸鬼||狂|68|38553,敌人1|食尸鬼·嫉妒||狂|72|35144,敌人1|食尸鬼·嫉妒||狂|72|40812,敌人1|食尸鬼·嫉妒||狂|72|40812,敌人1|食尸鬼||狂|68|43149,敌人1|食尸鬼·嫉妒||狂|72|76239,敌人2|食尸鬼·暴食||狂|67|198296,敌人1|食尸鬼||狂|68|76596
狩猎关卡 第5弹,咒书,开位级,ブック・ハント_開位級,敌人1|咒语书||术|45|18915,敌人1|咒语书||术|46|19598,敌人1|咒语书||术|45|18915,敌人1|咒语书||术|46|28984,敌人1|咒语书||术|46|28984,敌人1|火焰咒书||术|38|28683,敌人1|咒语书||术|46|31744,敌人2|魔导书|魔导书|术|52|111569,敌人1|冰雪咒书||术|38|36557
狩猎关卡 第5弹,咒书,祭位级,ブック・ハント_祭位級,敌人1|咒语书||术|58|26678,敌人1|咒语书||术|59|28536,敌人1|咒语书||术|58|26678,敌人1|咒语书||术|59|42276,敌人1|火焰咒书||术|49|45609,敌人1|冰雪咒书||术|50|46599,敌人1|咒语书||术|80|42813,敌人2|魔导书|魔导书|术|59|164549,敌人1|冰雪咒书||术|50|62773
狩猎关卡 第5弹,咒书,典位级,ブック・ハント_典位級,敌人1|咒语书||术|72|34331,敌人1|咒语书||术|73|34796,敌人1|咒语书||术|72|34331,敌人1|火焰咒书||术|60|55786,敌人1|火焰咒书||术|61|56795,敌人1|冰雪咒书||术|61|60401,敌人1|咒语书||术|72|44630,敌人2|魔导书|魔导书|术|71|196195,敌人1|冰雪咒书||术|61|67613
狩猎关卡 第5弹,凝视者,开位级,ゲイザー・ハント_開位級,敌人1|古代兵|士兵|弓|54|26710,敌人1|古代兵|士兵|弓|55|27220,敌人1|古代兵|士兵|弓|54|26710,敌人1|古代兵|士兵|弓|54|35883,敌人1|古代兵|士兵|弓|55|36550,敌人1|古代兵|士兵|弓|54|35883,敌人1|古代兵|士兵|弓|55|46922,敌人2|凝视者||弓|31|123800,
