章名称,名称cn,级别,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩HIMEJI纸牌,新手级,HIMEJIカードで遊ぶ_ビギナー級,AP20{{道具|QP.png||20px}}50k,敌人1|雀蜂2|新手猎人|剑|7|1960,,敌人1|雀蜂2|新手猎人|剑|8|2204,敌人1|雀蜂2|新手猎人|剑|10|3636,敌人1|雀蜂2|新手猎人|剑|12|4530,敌人1|雀蜂2|新手猎人|剑|11|3999,敌人1|雀蜂2|新手猎人|剑|13|8629,敌人3|吉尔·德·雷|富裕的骑士|剑|31|35225,敌人1|舞动的硬币|舞动的硬币（追加）|枪|10|5407
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩HIMEJI纸牌,常客级,HIMEJIカードで遊ぶ_レギュラー級,AP40{{道具|QP.png||20px}}200k,敌人1|雀蜂2|新手猎人|剑|23|7105,敌人1|雀蜂2|新手猎人|剑|25|9086,敌人1|雀蜂2|新手猎人|剑|24|7398,敌人1|机械化步兵_小|野生机械|剑|15|3940,敌人2|噬魂者|军用犬|剑|21|45481,敌人1|雀蜂2|新手猎人|剑|27|15523,敌人1|机械化步兵_小|野生机械|剑|17|6644,敌人3|南丁格尔|紧急治疗组|狂|46|70536,敌人1|舞动的硬币|舞动的硬币（追加）|枪|22|20257
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩HIMEJI纸牌,VIP级,HIMEJIカードで遊ぶ_VIP級,AP40{{道具|QP.png||20px}}300k,敌人1|雀蜂2|新手猎人|剑|40|15153,敌人1|雀蜂2|新手猎人|剑|42|20168,敌人1|雀蜂2|新手猎人|剑|41|15556,敌人1|雀蜂2|新手猎人|剑|45|31209,敌人2|星之兽|战斗犬|剑|31|76562,敌人1|机械化步兵_小|野生机械|剑|25|8012,敌人1|机械化步兵_小|野生机械|剑|28|10715,敌人3|伊阿宋|猪鹿蝶水手|剑|70|120386,敌人1|舞动的硬币|舞动的硬币（追加）|枪|35|31686
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩法老抽签,新手级,ファラオくじで遊ぶ_ビギナー級,AP30{{道具|QP.png||20px}}100k,敌人1|骷髅兵|穷光蛋骷髅兵|术|7|3243,敌人1|骷髅兵|穷光蛋骷髅兵|术|10|4171,敌人1|骷髅兵|穷光蛋骷髅兵|术|8|3566,敌人1|骷髅兵|穷光蛋骷髅兵|术|11|6502,敌人1|骷髅兵|穷光蛋骷髅兵|术|13|9777,敌人1|骷髅兵|穷光蛋骷髅兵|术|12|6962,敌人1|骷髅兵|穷光蛋骷髅兵|术|15|12694,敌人3|沃尔夫冈·阿马德乌斯·莫扎特|赌场前的演奏家|术|36|50473,敌人1|舞动的硬币|舞动的硬币（追加）|枪|10|9612
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩法老抽签,常客级,ファラオくじで遊ぶ_レギュラー級,AP40{{道具|QP.png||20px}}225k,敌人1|骷髅兵|穷光蛋骷髅兵|术|29|7162,敌人1|骷髅兵|穷光蛋骷髅兵|术|30|7384,敌人1|骷髅兵|穷光蛋骷髅兵|术|31|9270,敌人1|骷髅兵|穷光蛋骷髅兵|术|32|10600,敌人2|斯芬克斯|警备系统|术|20|53208,敌人1|鬼魂|名流鬼魂|术|29|16200,敌人1|鬼魂|名流鬼魂|术|39|30365,敌人3|阿维斯布隆|大量筹码的老师|术|65|87111,敌人1|舞动的硬币|舞动的硬币（追加）|枪|22|20257
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩法老抽签,VIP级,ファラオくじで遊ぶ_VIP級,AP40{{道具|QP.png||20px}}325k,敌人1|骷髅兵|穷光蛋骷髅兵|术|41|14360,敌人1|骷髅兵|穷光蛋骷髅兵|术|43|15006,敌人1|骷髅兵|穷光蛋骷髅兵|术|42|18174,敌人1|鬼魂|名流鬼魂|术|39|34582,敌人2|女王斯芬克斯|VIP护卫系统|术|32|104092,敌人1|鬼魂|名流鬼魂|术|40|36547,敌人1|鬼魂|名流鬼魂|术|43|52386,敌人3|米德拉什的Caster|筹码迅速减少的女王|术|78|153270,敌人1|舞动的硬币|舞动的硬币（追加）|枪|35|31686
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩鲨鱼竞速,新手级,ルカンレースで遊ぶ_ビギナー級,AP30{{道具|QP.png||20px}}125k,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|枪|23|15708,敌人1|食尸鬼|粉丝俱乐部会员|枪|24|10678,敌人1|食尸鬼|粉丝俱乐部会员|枪|24|10678,敌人1|食尸鬼|粉丝俱乐部会员|枪|29|20107,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|枪|31|20560,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|枪|30|19900,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|枪|34|30039,敌人3|吕布奉先|大鲸鱼|狂|46|52790,敌人1|舞动的硬币|舞动的硬币（追加）|枪|20|18425
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩鲨鱼竞速,常客级,ルカンレースで遊ぶ_レギュラー級,AP40{{道具|QP.png||20px}}250k,敌人1|食尸鬼|粉丝俱乐部会员|枪|43|18205,敌人1|食尸鬼|粉丝俱乐部会员|枪|42|17813,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|枪|47|23592,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|枪|50|27997,敌人1|霜之巨人|粉丝俱乐部部长|枪|35|33348,敌人2|许德拉|跳舞的蛇|枪|47|64855,敌人1|霜之巨人|粉丝俱乐部部长|枪|37|40251,敌人3|迪尔姆德·奥迪那|赌上全力的战士|枪|75|106940,敌人1|舞动的硬币|舞动的硬币（追加）|枪|30|27236
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩鲨鱼竞速,VIP级,ルカンレースで遊ぶ_VIP級,AP40{{道具|QP.png||20px}}375k,敌人1|食尸鬼|粉丝俱乐部会员|剑|59|26745,敌人1|食尸鬼|粉丝俱乐部会员|剑|60|27172,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|剑|64|32905,敌人1|食尸鬼·嫉妒|粉丝俱乐部会员|剑|67|39651,敌人1|霜之巨人|粉丝俱乐部部长|剑|48|52120,敌人2|大蛇|杂耍的蛇|剑|62|109602,敌人1|霜之巨人|粉丝俱乐部部长|剑|51|76222,敌人3|骑士迪昂|大量BET的护卫队长|剑|87|180784,敌人1|舞动的硬币|舞动的硬币（追加）|枪|40|36048
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩卡美洛轮盘赌,新手级,キャメロットルーレットで遊ぶ_ビギナー級,AP40{{道具|QP.png||20px}}200k,敌人1|斩首鸡|维加斯神鹫|枪|25|18922,敌人1|斩首鸡|维加斯神鹫|枪|20|13209,敌人1|斩首鸡|维加斯神鹫|枪|20|13209,敌人1|斩首鸡|维加斯神鹫|枪|28|28111,敌人1|肃正骑士|扑克骑士|枪|20|26805,敌人1|斩首鸡|维加斯神鹫|枪|29|29080,敌人1|肃正骑士|扑克骑士|枪|23|46405,敌人3|列奥尼达一世|裸身单口谐星|枪|60|86040,敌人1|舞动的硬币|舞动的硬币（追加）|枪|20|18425
拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！,游玩卡美洛轮盘赌,常客级,キャメロットルーレットで遊ぶ_レギュラー級,AP40{{道具|QP.png||20px}}275k,敌人1|肃正骑士|扑克骑士|杀|30|20134,敌人1|斩首鸡|维加斯神鹫|杀|40|31808,敌人1|斩首鸡|维加斯神鹫|杀|39|31808,敌人1|斩首鸡|维加斯神鹫|杀|42|73118,敌人1|肃正骑士|扑克骑士|杀|31|40690,敌人2|龙|老虎机之龙|杀|45|81540,敌人1|肃正骑士|扑克骑士|杀|34|57166,敌人3|新宿的Assassin|慎重的拳法家|杀|77|104975,敌人1|舞动的硬币|舞动的硬币（追加）|枪|35|31686
