章名称,名称cn,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,闪亮☆招待的开始,キラッ☆おもてなしの始まり,40,敌人|哥布林|向导工作人员|剑|27|19831,敌人|哥布林|向导工作人员|剑|31|22783,敌人|哥布林|向导工作人员|剑|28|20551,敌人|哥布林|向导工作人员|剑|29|31020,敌人|哥布林|向导工作人员|剑|32|41620,敌人|哥布林|向导工作人员|剑|30|32070,敌人|哥布林|向导工作人员|剑|33|65604,敌人|迪尔姆德·奥迪那(Saber)|从者|剑|65|109802,敌人|哥布林|向导工作人员|剑|35|69503
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,环球吸血之旅！？,世界を巡る吸血ツアー！？,40,敌人|巴西利斯克|徘徊的玩偶|枪|38|25014,敌人|巴西利斯克|徘徊的玩偶|枪|41|26986,敌人|巴西利斯克|徘徊的玩偶|枪|40|26286,敌人|巴西利斯克|徘徊的玩偶|枪|39|43605,敌人|巴西利斯克|徘徊的玩偶|枪|43|48038,敌人|巴西利斯克|徘徊的玩偶|枪|42|46957,敌人|巴西利斯克|徘徊的玩偶|枪|44|57788,敌人|弗拉德三世〔EXTRA〕|从者|枪|70|113895,敌人|巴西利斯克|徘徊的玩偶|枪|45|59060
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,在火山见到了伟大灵魂,火の山にマハトマを見た,40,敌人|稻草人|烤稻草人|术|36|30957,敌人|稻草人|烤稻草人|术|37|31786,敌人|稻草人|烤稻草人|术|40|34275,敌人|稻草人|烤稻草人|术|38|52185,敌人|稻草人|烤稻草人|术|41|56299,敌人|稻草人|烤稻草人|术|39|53512,敌人|稻草人|烤稻草人|术|42|60027,敌人|海伦娜·布拉瓦茨基|从者|术|79|118695,敌人|稻草人|烤稻草人|术|43|61410
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,当真！？老师的危险研究！,ま！？　先生の危険な研究！,40,敌人|南瓜骑士|山岳警备队|弓|21|30867,敌人|南瓜骑士|山岳警备队|弓|24|35232,敌人|南瓜骑士|山岳警备队|弓|23|33777,敌人|南瓜骑士|山岳警备队|弓|25|51363,敌人|南瓜骑士|山岳警备队|弓|26|53400,敌人2|超级奇美拉|山之猛兽|狂|28|81438,敌人|南瓜骑士|山岳警备队|弓|29|59512,敌人|喀戎|从者|弓|75|119048,敌人|南瓜骑士|山岳警备队|弓|30|61550
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,响彻千夜的摇篮曲,千夜に響く子守歌,40,敌人|食尸鬼|破烂的妖怪|狂|43|28962,敌人|食尸鬼|破烂的妖怪|狂|45|30212,敌人|食尸鬼·嫉妒|疲惫的妖怪|狂|44|31066,敌人|食尸鬼|破烂的妖怪|狂|46|35240,敌人|食尸鬼·暴食|肥胖的妖怪|狂|48|57727,敌人2|青南瓜WAN|青南瓜WAN|术|37|107442,敌人|食尸鬼·嫉妒|疲惫的妖怪|狂|49|52003,敌人|不夜城的Caster|从者|术|85|200369,敌人|食尸鬼·暴食|肥胖的妖怪|狂|48|67896
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,蛇亦眩晕的浪漫回旋曲？,蛇も眩めくロマンスロンド？,40,敌人|双足飞龙|帅气的交通工具|骑|24|27180,敌人|双足飞龙|帅气的交通工具|骑|27|30412,敌人|恐惧飞龙|激烈的交通工具|骑|28|38661,敌人|双足飞龙|帅气的交通工具|骑|26|45631,敌人|恐惧飞龙|激烈的交通工具|骑|29|52019,敌人2|赤南瓜WAN|赤南瓜WAN|骑|39|111183,敌人|恐惧飞龙|激烈的交通工具|骑|31|77146,敌人|美杜莎|从者|骑|70|214488,敌人|恶魔飞龙|危险的交通工具|骑|32|82910
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,孤独之泪！　情侣天诛剑！,独りの涙！　カップル天誅剣！,40,敌人|南瓜食人鬼·J|南瓜食人鬼·J|狂|37|38096,敌人|南瓜食人鬼·J|南瓜食人鬼·J|狂|41|45930,敌人|南瓜食人鬼·J|南瓜食人鬼·J|狂|39|39988,敌人|南瓜食人鬼·J|南瓜食人鬼·J|狂|42|59108,敌人|南瓜食人鬼·J|南瓜食人鬼·J|狂|43|60407,敌人2|守护者|旋转动力源|杀|37|127996,敌人|南瓜食人鬼·J|南瓜食人鬼·J|狂|44|76077,敌人|冈田以藏|从者|杀|70|229944,敌人|南瓜食人鬼·J|南瓜食人鬼·J|狂|45|77688
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,撸毛！　超级午餐时间！,モフー！　スーパーランチタイム！,40,敌人|南瓜骑士·J|南瓜骑士·J|剑|28|38079,敌人|南瓜骑士·J|南瓜骑士·J|剑|31|46490,敌人|南瓜骑士·J|南瓜骑士·J|剑|29|39429,敌人|南瓜骑士·J|南瓜骑士·J|剑|32|56698,敌人|南瓜骑士·J|南瓜骑士·J|剑|33|58453,敌人2|绿南瓜WAN|绿南瓜WAN|剑|44|155112,敌人|南瓜骑士·J|南瓜骑士·J|剑|34|74102,敌人|南瓜骑士·J|南瓜骑士·J|剑|35|76261,敌人|源赖光|从者|狂|56|302592
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,山猫无法笔直奔跑,山猫はまっすぐ走れない,40,敌人|南瓜骷髅兵|镜之骸骨|弓|51|52915,敌人|南瓜骷髅兵|镜之骸骨|弓|55|56795,敌人|南瓜骷髅兵|镜之骸骨|弓|53|54855,敌人|南瓜骷髅兵|镜之骸骨|弓|56|69318,敌人|南瓜骷髅兵|镜之骸骨|弓|58|71646,敌人2|大蛇|镜中之蛇|弓|68|168851,敌人|南瓜骷髅兵|镜之骸骨|弓|59|78877,敌人|南瓜骷髅兵|镜之骸骨|弓|60|80138,敌人|阿塔兰忒|从者|弓|90|317308
复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版,旋转！　ONILAND11外景,まわる！　ONILAND11ロケ,40,敌人|近代兵僵尸|恐高的混混|术|54|53592,敌人|近代兵僵尸|恐高的混混|术|56|55454,敌人|近代兵僵尸|恐高的混混|狂|53|48360,敌人|近代兵僵尸|恐高的混混|术|58|83587,敌人|近代兵僵尸|恐高的混混|狂|57|75516,敌人2|恶魔|混混们的头领|术|38|184953,敌人|近代兵僵尸|恐高的混混|术|60|99864,敌人|近代兵僵尸|恐高的混混|狂|59|90266,敌人|葛饰北斋|从者|降|68|340431
