章名称,名称cn,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Saber Wars 2 ～前往初始的宇宙～,在荒野之上收集资源,枯れ果てた荒野で資源収集,40,敌人3|失心之人|战争猎人|剑|38|10341,敌人3|失心之人|战争猎人|剑|40|15488,敌人3|失心之人|战争猎人|剑|37|10091,敌人3|失心之人|战争猎人|剑|42|16238,敌人2|噬魂者|外星狗狗|剑|43|65282,敌人3|失心罪人|战争猎人|狂|42|31336,敌人3|失心罪人|战争猎人|狂|44|45891,敌人3|弗格斯·马克·罗伊|钻头型男|剑|80|109410,敌人3|失心罪人|战争猎人|狂|44|45891
Saber Wars 2 ～前往初始的宇宙～,在同步轨道上收集资源,静止軌道上で資源収集,40,敌人1|鬼魂|烟雾鬼魂|狂|32|11610,敌人1|鬼魂|烟雾鬼魂|狂|33|12142,敌人1|鬼魂|烟雾鬼魂|狂|37|17049,敌人1|鬼魂|烟雾鬼魂|狂|38|20024,敌人2|凝视者|瓦斯气球|狂|55|66000,敌人1|恐怖鬼魂|烟雾鬼魂|狂|32|35002,敌人1|恐怖鬼魂|烟雾鬼魂|狂|35|52551,敌人3|斯巴达克斯|剑斗士叛逆|狂|55|120855,敌人1|恐怖鬼魂|烟雾鬼魂|狂|35|52551
Saber Wars 2 ～前往初始的宇宙～,在古代神殿遗迹收集资源,古代神殿跡で資源収集,40,敌人1|魔偶|古代机器人|术|40|18091,敌人1|魔偶|古代机器人|术|35|12538,敌人1|魔偶|古代机器人|术|37|13228,敌人1|石魔偶|古代机器人|术|44|23200,敌人2|斯芬克斯|在宇宙中迷路的斯芬克斯|术|37|68785,敌人1|自动防卫装置·二式|安保防卫立方体|术|25|33019,敌人1|石魔偶|古代机器人|术|50|48035,敌人3|米德拉什的Caster||术|79|108772,敌人1|自动防卫装置·二式|安保防卫立方体|术|30|60934
Saber Wars 2 ～前往初始的宇宙～,在女王女学院收集资源,女王女学院で資源収集,40,敌人1|自动人偶|家庭科模特|杀|32|16075,敌人1|自动人偶|家庭科模特|杀|38|23185,敌人1|自动人偶|家庭科模特|杀|34|17040_,敌人2|多多益善号|社会科Tomas|杀|43|90061,敌人1|自动人偶|家庭科模特|杀|42|30258,敌人1|杀戮人偶|体育科人偶|杀|37|45408,敌人1|杀戮人偶|体育科人偶|杀|38|56973,敌人3|加藤段藏|加藤段藏学年主任|杀|80|142609,敌人1|杀戮人偶|体育科人偶|杀|39|58448
Saber Wars 2 ～前往初始的宇宙～,在绿色厨房收集资源,グリーン・キッチンで資源収集,40,敌人1|小魔|真空海星|弓|33|18179,敌人1|海魔|真空海星|弓|35|24381,敌人1|小魔|真空海星|弓|33|18179,敌人1|小魔|真空海星|弓|36|23896,敌人2|巨大魔猪|宇宙牛|弓|43|92288,敌人1|海魔|真空海星|弓|37|50130,敌人1|魔猪|宇宙小牛|弓|43|56712,敌人3|帕里斯|羊群是朋友|弓|60|140454,敌人1|魔猪|宇宙小牛|弓|43|56712
Saber Wars 2 ～前往初始的宇宙～,在禁忌宙域收集资源,禁忌宙域で資源収集,40,敌人3|流氓|受雇王牌|骑|37|23310,敌人3|小混混|受雇莫西干|骑|33|17414,敌人3|小混混|受雇莫西干|骑|33|17414,敌人2|火之巨人|受雇巨人|骑|40|95536,敌人3|小混混|受雇莫西干|骑|40|28037,敌人3|流氓|受雇王牌|骑|43|50356,敌人3|小混混|受雇莫西干|骑|45|48211,敌人3|乔尔乔斯||骑|65|144440,敌人3|流氓|受雇王牌|骑|45|56474
Saber Wars 2 ～前往初始的宇宙～,在试炼之山收集资源,試練の山で資源収集,40,敌人1|半人马骑士|从者训练师|枪|33|27820,敌人1|半人马|从者训练师|枪|38|20178,敌人1|半人马|从者训练师|枪|38|20178,敌人1|半人马|从者训练师|枪|43|32929,敌人2|双角兽之王|试炼山之主|枪|40|112345,敌人1|半人马骑士|从者训练师|枪|40|62002,敌人1|半人马骑士|从者训练师|枪|42|64595,敌人3|库·丘林〔Prototype〕|光之修行者|枪|70|170656,敌人1|半人马圣骑|从者训练师|枪|43|74262
Saber Wars 2 ～前往初始的宇宙～,在幻之大河收集资源,幻の大河で資源収集,40,敌人1|双足飞龙|宇宙双足飞龙|骑|53|20891,敌人1|恐惧飞龙|宇宙双足飞龙|骑|42|30682,敌人1|双足飞龙|宇宙双足飞龙|骑|53|20891,敌人1|恐惧飞龙|宇宙双足飞龙|骑|45|40270,敌人1|恶魔飞龙|宇宙双足飞龙|骑|37|58401,敌人2|巨龙|宇宙龙|骑|55|113748,敌人1|恶魔飞龙|宇宙双足飞龙|骑|40|62062,敌人3|爱德华·蒂奇|宇宙海盗黑胡子|骑|65|120977,敌人3|巴沙洛缪·罗伯茨|从者|骑|60|117600
Saber Wars 2 ～前往初始的宇宙～,在要塞外壳上收集资源,要塞外殻で資源収集,40,敌人1|凯尔特士兵|秘密工作员|剑|52|26654,敌人1|凯尔特士兵|秘密工作员|剑|52|26654,敌人1|德鲁伊|秘密研究员|剑|55|34077,敌人2|青铜守护者|试制机78号|剑|45|125698,敌人1|德鲁伊|秘密研究员|剑|58|46569,敌人1|凯尔特士兵|秘密工作员|剑|55|35118,敌人1|舞动的硬币|刮刀钻头|剑|49|54986,敌人3|亚瑟·潘德拉贡〔Prototype〕|从者|剑|75|180580,敌人1|舞动的硬币|刮刀钻头|剑|49|54986
Saber Wars 2 ～前往初始的宇宙～,在呆毛星人的住处收集资源,アルトン星人の住処で資源収集,40,敌人1|人工生命体原型|精英呆毛星人|狂|30|32946,敌人1|人工生命体|呆毛星人|狂|45|26718,敌人1|人工生命体|呆毛星人|狂|45|26718,敌人1|人工生命体|呆毛星人|狂|50|45281,敌人1|人工生命体原型|精英呆毛星人|狂|34|53320,敌人2|摩诃那伽|呆毛吞噬者|狂|45|130174,敌人1|人工生命体原型|精英呆毛星人|狂|35|65464,敌人3|阿斯特赖亚|从者|裁|84|100926,敌人3|魁札尔·科亚特尔〔桑巴／圣诞〕|从者|裁|84|85405
