章名称,名称cn,级别,名称jp,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
狩猎关卡 第7弹,骷髅,开位级,スケルトン・ハント_開位級,敌人1|骷髅兵|骷髅兵|剑|49|22966,敌人1|骷髅兵|骷髅兵|剑|50|23938,敌人1|骷髅兵|骷髅兵|剑|49|22966,敌人1|骷髅兵|骷髅兵|剑|49|30307,敌人1|骷髅兵|骷髅兵|剑|50|31419,敌人1|骷髅兵|骷髅兵|剑|49|30307,敌人1|骷髅兵|骷髅兵|剑|49|39850,敌人2|骸骨之王|骸骨之王|剑|50|75607,敌人1|骷髅兵|骷髅兵|剑|49|39850
狩猎关卡 第7弹,骷髅,祭位级,スケルトン・ハント_祭位級,敌人1|骷髅兵|骷髅兵|剑|63|31449,敌人1|骷髅兵|骷髅兵|剑|64|33815,敌人1|骷髅兵|骷髅兵|剑|63|31449,敌人1|骷髅兵|骷髅兵|剑|63|41044,敌人1|骷髅兵|骷髅兵|剑|64|43012,敌人1|骷髅兵|骷髅兵|剑|63|41044,敌人1|骷髅兵|骷髅兵|剑|64|54374,敌人2|骸骨之王|骸骨之王|剑|59|151735,敌人1|骷髅兵|骷髅兵|剑|64|54374
狩猎关卡 第7弹,骷髅,典位级,スケルトン・ハント_典位級,敌人1|骷髅兵|骷髅兵|剑|75|35428,敌人1|骷髅兵|骷髅兵|剑|73|34912,敌人1|骷髅兵|骷髅兵|剑|75|35428,敌人1|骷髅兵|骷髅兵|剑|76|49432,敌人1|骷髅兵|骷髅兵|剑|77|50859,敌人1|骷髅兵|骷髅兵|剑|76|49432,敌人1|骷髅兵|骷髅兵|剑|79|65356,敌人2|骸骨之王|骸骨之王|剑|69|192104,敌人1|骷髅兵|骷髅兵|剑|79|65356
狩猎关卡 第7弹,魔偶,开位级,ゴーレム・ハント_開位級,敌人1|金属魔偶||狂|30|22290,敌人1|金属魔偶||狂|31|23981,敌人1|金属魔偶||狂|30|22376,敌人1|金属魔偶||狂|31|30199,敌人1|金属魔偶||狂|32|31153,敌人1|金属魔偶||狂|31|30199,敌人1|金属魔偶||狂|33|40606,敌人2|双子钢铁魔偶||狂|37|75395,敌人1|金属魔偶||狂|33|39662
狩猎关卡 第7弹,魔偶,祭位级,ゴーレム・ハント_祭位級,敌人1|金属魔偶||狂|40|34224,敌人1|金属魔偶||狂|40|34338,敌人1|金属魔偶||狂|41|37493,敌人1|金属魔偶||狂|41|41125,敌人1|金属魔偶||狂|42|58787,敌人1|金属魔偶||狂|41|41243,敌人1|金属魔偶||狂|43|49112,敌人2|双子钢铁魔偶||狂|44|132952,敌人1|金属魔偶||狂|43|50340
狩猎关卡 第7弹,魔偶,典位级,ゴーレム・ハント_典位級,敌人1|金属魔偶||狂|50|41304,敌人1|金属魔偶||狂|51|45109,敌人1|金属魔偶||狂|50|41304,敌人1|金属魔偶||狂|51|52385,敌人1|金属魔偶||狂|52|60812,敌人1|金属魔偶||狂|51|53840,敌人1|金属魔偶||狂|53|57429,敌人2|双子钢铁魔偶||狂|51|169629,敌人1|金属魔偶||狂|53|55917
狩猎关卡 第7弹,亚马逊人,开位级,アマゾネス・ハント_開位級,敌人1|亚马逊人||弓|43|23077,敌人1|亚马逊队长||弓|43|28012,敌人1|亚马逊人||弓|42|22557,敌人1|亚马逊人||弓|42|30518,敌人1|亚马逊队长||弓|44|32234,敌人1|亚马逊人||弓|43|31222,敌人1|亚马逊人||弓|43|32580,敌人2|亚马逊女王||弓|58|93664,敌人1|亚马逊人||弓|43|32580
狩猎关卡 第7弹,亚马逊人,祭位级,アマゾネス・ハント_祭位級,敌人1|亚马逊人||弓|55|34546,敌人1|亚马逊队长||弓|57|37040,敌人1|亚马逊人||弓|55|34546,敌人1|亚马逊人||弓|55|43182,敌人1|亚马逊队长||弓|58|70652,敌人1|亚马逊人||弓|55|43182,敌人1|亚马逊人||弓|64|52140,敌人2|亚马逊女王||弓|69|111433,敌人1|亚马逊人||弓|64|52140
狩猎关卡 第7弹,亚马逊人,典位级,アマゾネス・ハント_典位級,敌人1|亚马逊人||弓|67|41941,敌人1|亚马逊队长||弓|70|45429,敌人1|亚马逊人||弓|67|41941,敌人1|亚马逊人||弓|68|53191,敌人1|亚马逊队长||弓|71|86500,敌人1|亚马逊人||弓|68|53191,敌人1|亚马逊人||弓|68|55318,敌人2|亚马逊女王||弓|71|160713,敌人1|亚马逊人||弓|68|55318
狩猎关卡 第7弹,禁卫兵,开位级,近衛兵・ハント_開位級,敌人1|食尸鬼||狂|38|9502,敌人1|禁卫兵||杀|24|13816,敌人1|食尸鬼||狂|38|9502,敌人1|食尸鬼·嫉妒||狂|43|15640,敌人1|食尸鬼·嫉妒||狂|43|15640,敌人1|禁卫兵||杀|25|18146,敌人1|禁卫兵||杀|27|44301,敌人1|食尸鬼·嫉妒||狂|45|27189,敌人2|禁卫兵||杀|49|93339
狩猎关卡 第7弹,禁卫兵,祭位级,近衛兵・ハント_祭位級,敌人1|食尸鬼||狂|50|15236,敌人1|禁卫兵||杀|32|19688,敌人1|食尸鬼·嫉妒||狂|53|15022,敌人1|食尸鬼||狂|51|23325,敌人1|食尸鬼·嫉妒||狂|54|23685,敌人1|禁卫兵||杀|33|28408,敌人1|禁卫兵||杀|36|55007,敌人1|食尸鬼||狂|55|37551,敌人2|禁卫兵||杀|55|134722
狩猎关卡 第7弹,禁卫兵,典位级,近衛兵・ハント_典位級,敌人1|食尸鬼·嫉妒||狂|65|20548,敌人1|禁卫兵||杀|40|26148,敌人1|食尸鬼·嫉妒||狂|65|20548,敌人1|食尸鬼||狂|66|31022,敌人1|食尸鬼||狂|66|31022,敌人1|禁卫兵||杀|42|38956,敌人1|禁卫兵||杀|45|67441,敌人1|食尸鬼·嫉妒||狂|69|45529,敌人2|禁卫兵||杀|75|163068
狩猎关卡 第7弹,双角兽,开位级,バイコーン・ハント_開位級,敌人1|杀戮猎兵||杀|24|9540,敌人1|杀戮猎兵||杀|25|13695,敌人1|杀戮猎兵||杀|24|9540,敌人1|杀戮猎兵||杀|25|15749,敌人1|杀戮猎兵||杀|25|15749,敌人1|杀戮猎兵||杀|26|18500,敌人1|杀戮猎兵||杀|27|44301,敌人2|双角兽||枪|41|73135,敌人1|杀戮猎兵||杀|27|27319
狩猎关卡 第7弹,双角兽,祭位级,バイコーン・ハント_祭位級,敌人1|杀戮猎兵||杀|33|15331,敌人1|杀戮猎兵||杀|34|19501,敌人1|杀戮猎兵||杀|33|15331,敌人1|杀戮猎兵||杀|34|23216,敌人1|杀戮猎兵||杀|35|28186,敌人1|杀戮猎兵||杀|34|23216,敌人1|杀戮猎兵||杀|36|55989,敌人2|双角兽之王||枪|45|139399,敌人1|杀戮猎兵||杀|36|37817
狩猎关卡 第7弹,双角兽,典位级,バイコーン・ハント_典位級,敌人1|杀戮猎兵||杀|42|20624,敌人1|杀戮猎兵||杀|43|26383,敌人1|杀戮猎兵||杀|42|20624,敌人1|杀戮猎兵||杀|43|30487,敌人1|杀戮猎兵||杀|43|30487,敌人1|杀戮猎兵||杀|44|38380,敌人1|杀戮猎兵||杀|45|69893,敌人2|双角兽之王||枪|53|166426,敌人1|杀戮猎兵||杀|45|47208
狩猎关卡 第7弹,斯芬克斯,开位级,スフィンクス・ハント_開位級,敌人1|黑武者||剑|17|9238,敌人1|黑武者||剑|18|13689,敌人1|黑武者||剑|17|9238,敌人1|黑武者||剑|18|15645,敌人1|黑武者||剑|18|15645,敌人1|黑武者||剑|19|18573,敌人1|黑武者||剑|20|44518,敌人1|黑武者||剑|20|27145,敌人2|斯芬克斯||术|33|97939
狩猎关卡 第7弹,斯芬克斯,祭位级,スフィンクス・ハント_祭位級,敌人1|黑武者||剑|24|15686,敌人1|黑武者||剑|25|19737,敌人1|黑武者||剑|24|15686,敌人1|黑武者||剑|25|23821,敌人1|黑武者||剑|25|23821,敌人1|黑武者||剑|26|28304,敌人1|黑武者||剑|27|55828,敌人1|黑武者||剑|27|37464,敌人2|斯芬克斯||术|40|141496
狩猎关卡 第7弹,斯芬克斯,典位级,スフィンクス・ハント_典位級,敌人1|黑武者||剑|31|21132,敌人1|黑武者||剑|32|27040,敌人1|黑武者||剑|31|21132,敌人1|黑武者||剑|32|32274,敌人1|黑武者||剑|32|32274,敌人1|黑武者||剑|33|38669,敌人1|黑武者||剑|34|68544,敌人1|黑武者||剑|34|47240,敌人2|斯芬克斯||术|47|164216
狩猎关卡 第7弹,骷髅(种火),开位级,スケルトン・ハント_開位級,敌人1|骷髅兵|骷髅兵|剑|49|22966,敌人1|骷髅兵|骷髅兵|剑|50|23938,敌人1|骷髅兵|骷髅兵|剑|49|22966,敌人1|骷髅兵|骷髅兵|剑|49|30307,敌人1|骷髅兵|骷髅兵|剑|50|31419,敌人1|骷髅兵|骷髅兵|剑|49|30307,敌人2|黎明之炎腕||剑|40|36275,敌人2|骸骨之王|骸骨之王|剑|50|75607,敌人1|骷髅兵|骷髅兵|剑|49|39850
狩猎关卡 第7弹,骷髅(种火),祭位级,スケルトン・ハント_祭位級,敌人1|骷髅兵|骷髅兵|剑|63|31449,敌人1|骷髅兵|骷髅兵|剑|64|33815,敌人1|骷髅兵|骷髅兵|剑|63|31449,敌人1|骷髅兵|骷髅兵|剑|63|41044,敌人1|骷髅兵|骷髅兵|剑|64|43012,敌人1|骷髅兵|骷髅兵|剑|63|41044,敌人2|黎明之炎腕||剑|50|45364,敌人2|骸骨之王|骸骨之王|剑|59|151735,敌人1|骷髅兵|骷髅兵|剑|64|54374
狩猎关卡 第7弹,骷髅(种火),典位级,スケルトン・ハント_典位級,敌人1|骷髅兵|骷髅兵|剑|75|35428,敌人1|骷髅兵|骷髅兵|剑|73|34912,敌人1|骷髅兵|骷髅兵|剑|75|35428,敌人1|骷髅兵|骷髅兵|剑|76|49432,敌人1|骷髅兵|骷髅兵|剑|77|50859,敌人1|骷髅兵|骷髅兵|剑|76|49432,敌人2|黎明之炎腕||剑|60|90756,敌人2|骸骨之王|骸骨之王|剑|69|192104,敌人1|骷髅兵|骷髅兵|剑|79|65356
