活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,第一特异点 邪龙百年战争 奥尔良,栋雷米,ドンレミ,"阳光,山丘,",敌人1|中世兵|法国士兵|枪|5|959,敌人1|中世兵|法国士兵|枪|5|959,,敌人1|中世兵|法国士兵|剑|8|1264,敌人1|中世兵|法国士兵|剑|6|1054,,敌人1|中世兵|法国士兵|剑|8|1264,敌人1|中世兵|法国士兵|剑|8|1264,敌人2|中世兵_大剑|法国士兵|剑|15|3808
Free,第一特异点 邪龙百年战争 奥尔良,沃库勒尔,ヴォークルール,"阳光,山丘,",敌人1|双足飞龙||骑|10|6597,,,敌人1|骷髅兵|骷髅兵|剑|10|2607,敌人1|骷髅兵|骷髅兵|剑|10|2607,敌人1|双足飞龙||骑|8|5400,敌人1|双足飞龙||骑|12|7855,敌人2|双足飞龙||骑|18|11447,
Free,第一特异点 邪龙百年战争 奥尔良,拉沙里泰,ラ・シャリテ,"阳光,都市,街区,",敌人1|中世兵僵尸|僵尸|枪|10|2764,敌人1|中世兵僵尸|僵尸|枪|10|2764,敌人1|双足飞龙||骑|8|5400,敌人1|双足飞龙||骑|8|5400,敌人1|双足飞龙||骑|8|5400,,敌人1|双足飞龙||骑|10|6597,敌人1|双足飞龙||骑|10|6597,敌人2|恐惧飞龙||骑|12|8436
Free,第一特异点 邪龙百年战争 奥尔良,汝拉,ジュラ,"阳光,森林,",敌人1|狼人|狼人|剑|6|4000,敌人1|狼人|狼人|剑|6|4000,,敌人1|狼人|狼人|枪|9|5766,敌人1|狼人|狼人|枪|9|5766,敌人1|狼人|狼人|杀|9|5371,敌人3|玛尔达|影从者|骑|22|38020,敌人1|恐惧飞龙||骑|10|7068,敌人1|恐惧飞龙||骑|10|7068
Free,第一特异点 邪龙百年战争 奥尔良,里昂,リヨン,"阳光,都市,街区,",敌人1|中世兵僵尸|僵尸|剑|15|3808,敌人1|中世兵僵尸|僵尸|剑|15|3808,,敌人1|中世兵僵尸|僵尸|枪|12|3209,敌人1|中世兵僵尸|僵尸|枪|12|3209,敌人1|中世兵僵尸|僵尸|剑|16|4018,敌人1|中世兵僵尸_大剑|僵尸|剑|12|8264,敌人1|中世兵僵尸_大剑|僵尸|剑|12|8264,敌人3|剧院魅影|影从者|杀|22|40150
Free,第一特异点 邪龙百年战争 奥尔良,蒂耶尔,ティエール,"森林,",敌人1|双足飞龙||骑|8|5400,敌人1|双足飞龙||骑|8|5400,敌人1|双足飞龙||骑|8|5400,敌人1|双足飞龙||骑|10|6597,敌人1|双足飞龙||骑|10|6597,敌人1|恐惧飞龙||骑|8|5700,敌人3|兰斯洛特|影从者|狂|22|43114,,
Free,第一特异点 邪龙百年战争 奥尔良,奥尔良,オルレアン,"城池,",敌人1|骷髅兵|骷髅兵|枪|20|4673,敌人1|骷髅兵|骷髅兵|枪|20|4673,敌人1|恶魔飞龙||骑|10|10368,敌人1|恐惧飞龙||骑|10|7068,敌人1|恐惧飞龙||骑|10|7068,,敌人3|吉尔·德·雷|影从者|术|28|48432,,
Free,第一特异点 邪龙百年战争 奥尔良,巴黎,パリ,"阳光,都市,街区,",敌人1|骷髅兵|骷髅兵|弓|20|4490,敌人1|骷髅兵|骷髅兵|弓|20|4490,敌人1|骷髅兵|骷髅兵|弓|20|4490,敌人1|双足飞龙||骑|14|9052,敌人1|双足飞龙||骑|14|9052,敌人1|恶魔飞龙||骑|18|18662,敌人3|贞德〔Alter〕|影从者|裁|38|94212,,
Free,第一特异点 邪龙百年战争 奥尔良,马赛,マルセイユ,"山丘,",敌人1|中世兵僵尸|僵尸|剑|12|3178,敌人1|中世兵僵尸|僵尸|剑|14|3598,敌人1|中世兵僵尸|僵尸|剑|14|3598,敌人1|中世兵僵尸|僵尸|枪|14|3633,敌人1|中世兵僵尸|僵尸|枪|10|2764,敌人1|中世兵僵尸|僵尸|枪|16|4058,敌人1|中世兵僵尸|僵尸|枪|16|4058,敌人1|中世兵僵尸|僵尸|枪|16|4058,敌人2|中世兵僵尸_大剑|僵尸|剑|30|19666
Free,第一特异点 邪龙百年战争 奥尔良,波尔多,ボルドー,"森林,",敌人1|狼人|狼人|枪|8|5191,敌人1|狼人|狼人|枪|8|5191,敌人1|狼人|狼人|枪|8|5191,敌人1|狼人|狼人|剑|10|6280,敌人1|狼人|狼人|枪|10|6342,,敌人2|狼人|狼人|杀|20|11322,敌人1|狼人|狼人|杀|12|7033,敌人1|狼人|狼人|杀|12|7033
