活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,第五特异点 北美神话大战 合众为一,布拉克山,ブラックヒルズ,"阳光,荒野,山,",敌人1|机械化步兵_小|机械化步兵|弓|50|37784,敌人1|机械化步兵_小|机械化步兵|弓|50|37784,,敌人1|机械化步兵_小|机械化步兵|弓|55|65690,敌人2|机械化步兵_小|机械化步兵|弓|65|77420,敌人1|机械化步兵_小|机械化步兵|弓|55|65690,,,
Free,第五特异点 北美神话大战 合众为一,里弗顿,リバートン,"荒野,",敌人1|凯尔特士兵|凯尔特士兵|剑|40|13897,敌人1|凯尔特士兵|凯尔特士兵|弓|42|14112,,敌人1|凯尔特士兵|凯尔特士兵|枪|42|23868,敌人1|凯尔特士兵|凯尔特士兵|剑|42|23634,敌人1|凯尔特士兵|凯尔特士兵|剑|42|23634,敌人3|迪尔姆德·奥迪那|影从者|枪|72|62028,敌人3|芬恩·麦克库尔|影从者|枪|66|71623,
Free,第五特异点 北美神话大战 合众为一,丹佛,デンバー,"地下,",敌人1|机械化步兵_小|机械化步兵|弓|40|17718,敌人1|机械化步兵_小|机械化步兵|弓|40|17718,敌人1|机械化步兵_小|机械化步兵|弓|40|17718,敌人1|机械化步兵_中|机械化步兵|弓|38|44375,敌人1|机械化步兵_中|机械化步兵|弓|38|44375,,敌人3|迦尔纳|影从者|枪|48|104221,,
Free,第五特异点 北美神话大战 合众为一,德明,デミング,"阳光,街区,",敌人1|双足飞龙||骑|55|12869,敌人1|双足飞龙||骑|55|12869,,敌人1|恐惧飞龙||骑|45|24806,敌人1|双足飞龙||骑|59|20320,,敌人1|恐惧飞龙||骑|47|49859,敌人2|恶魔飞龙||骑|47|109641,敌人1|恐惧飞龙||骑|47|49859
Free,第五特异点 北美神话大战 合众为一,拉伯克,ラボック,"荒野,",敌人1|凯尔特士兵|凯尔特士兵|剑|41|10665,敌人1|凯尔特士兵|凯尔特士兵|剑|41|10665,敌人1|凯尔特士兵|凯尔特士兵|剑|41|10665,敌人1|凯尔特士兵|凯尔特士兵|剑|45|23270,敌人1|凯尔特士兵|凯尔特士兵|弓|45|23520,敌人1|凯尔特士兵|凯尔特士兵|弓|45|23520,敌人2|噬魂者||杀|45|198787,,
Free,第五特异点 北美神话大战 合众为一,达拉斯,ダラス,"街区,",敌人1|凯尔特士兵|凯尔特士兵|枪|44|15340,敌人1|凯尔特士兵|凯尔特士兵|枪|44|15340,,敌人1|凯尔特士兵|凯尔特士兵|枪|48|30171,敌人1|凯尔特士兵|凯尔特士兵|弓|48|28988,,敌人1|凯尔特士兵|凯尔特士兵|枪|50|40004,敌人2|凯尔特士兵|凯尔特士兵|弓|65|63974,敌人1|凯尔特士兵|凯尔特士兵|枪|50|40004
Free,第五特异点 北美神话大战 合众为一,亚历山德里亚,アレクサンドリア,"阳光,森林,",敌人1|凯尔特士兵|凯尔特士兵|剑|46|13857,敌人1|凯尔特士兵|凯尔特士兵|剑|46|13857,敌人1|凯尔特士兵|凯尔特士兵|剑|46|13857,敌人1|凯尔特士兵|凯尔特士兵|枪|50|29192,敌人1|凯尔特士兵|凯尔特士兵|弓|50|28047,敌人1|凯尔特士兵|凯尔特士兵|枪|50|29192,敌人2|凝视者||弓|45|150822,,
Free,第五特异点 北美神话大战 合众为一,阿尔卡特拉斯岛,アルカトラズ,"阳光,",敌人1|凯尔特士兵|凯尔特士兵|枪|46|10995,敌人1|凯尔特士兵|凯尔特士兵|枪|46|10995,敌人1|凯尔特士兵|凯尔特士兵|剑|46|10887,敌人1|凯尔特士兵|凯尔特士兵|枪|50|19461,敌人1|凯尔特士兵|凯尔特士兵|枪|50|19461,敌人1|凯尔特士兵|凯尔特士兵|枪|50|19461,敌人3|贝奥武夫|影从者|狂|58|189868,,
Free,第五特异点 北美神话大战 合众为一,得梅因,デモイン,"阳光,山丘,",敌人1|豹人|豹人|杀|37|20588,敌人1|豹人|豹人|杀|37|20588,敌人1|豹人|豹人|杀|37|20588,敌人2|奇美拉||狂|50|127575,,,敌人3|李书文|影从者|枪|68|148656,,
Free,第五特异点 北美神话大战 合众为一,卡尼,カーニー,"阳光,荒野,",敌人1|凯尔特士兵|凯尔特士兵|剑|48|18543,敌人1|凯尔特士兵|凯尔特士兵|枪|48|18727,敌人1|凯尔特士兵|凯尔特士兵|剑|48|18543,敌人1|凯尔特士兵|凯尔特士兵|枪|58|27376,敌人1|凯尔特士兵|凯尔特士兵|剑|58|27108,敌人1|凯尔特士兵|凯尔特士兵|枪|58|27376,敌人2|双角兽||枪|50|183600,,
