活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,第六特异点 神圣圆桌领域 卡美洛,沙尘暴的沙漠,砂嵐の砂漠,"阳光,沙滩·沙漠,",敌人1|骷髅兵|骷髅兵|剑|50|10706,敌人1|骷髅兵|骷髅兵|剑|50|10706,敌人1|骷髅兵|骷髅兵|枪|50|10812,敌人1|骷髅兵|骷髅兵|弓|60|18522,敌人1|骷髅兵|骷髅兵|弓|60|18522,敌人1|骷髅兵|骷髅兵|枪|60|19278,敌人2|斯芬克斯||术|39|224733,,
Free,第六特异点 神圣圆桌领域 卡美洛,黎明的沙丘,明けの砂丘,"阳光,沙滩·沙漠,",敌人1|蛇女||术|35|12829,敌人1|蛇女||术|35|12829,敌人1|那伽||术|35|29326,敌人1|蛇女||术|33|13964,敌人1|那伽||术|33|27650,敌人1|那伽||术|33|27650,敌人2|伊夫利塔||术|41|183220,,
Free,第六特异点 神圣圆桌领域 卡美洛,死之荒野,死の荒野,"阳光,燃烧,荒野,",敌人1|失心之人||杀|45|15594,敌人1|失心之人||杀|45|15594,敌人1|失心之人||杀|45|15594,敌人1|失心之人||杀|49|23464,敌人1|失心罪人||狂|49|48600,,敌人2|失心罪人||狂|59|93312,敌人1|失心罪人||狂|55|87091,
Free,第六特异点 神圣圆桌领域 卡美洛,东之村,東の村,"阳光,岩山,山,",敌人1|双足飞龙||骑|47|11611,敌人1|双足飞龙||骑|47|11611,敌人1|恐惧飞龙||骑|37|20428,敌人1|双足飞龙||骑|45|13910,敌人1|恐惧飞龙||骑|45|31008,敌人1|恐惧飞龙||骑|45|31008,敌人2|双角兽||枪|45|196911,,
Free,第六特异点 神圣圆桌领域 卡美洛,圆桌要塞,円卓の砦,"阳光,荒野,",敌人1|中世兵|圣都士兵|剑|53|7253,敌人1|中世兵|圣都士兵|剑|53|7253,敌人1|中世兵|圣都士兵|枪|53|7325,敌人1|中世兵|圣都士兵|枪|58|9959,敌人1|中世兵|圣都士兵|枪|58|9959,敌人1|肃正骑士|肃正骑士|枪|48|72705,敌人1|肃正骑士|肃正骑士|剑|40|73083,敌人1|肃正骑士|肃正骑士|剑|40|73083,敌人2|肃正骑士|肃正骑士|枪|50|75735
Free,第六特异点 神圣圆桌领域 卡美洛,晚钟庙,晩鐘廟,"阳光,岩山,山,",敌人1|鬼魂||杀|39|10829,敌人1|鬼魂||杀|39|10829,,敌人1|鬼魂||杀|41|13645,敌人1|恐怖鬼魂||杀|39|26623,敌人1|恐怖鬼魂||杀|39|26623,敌人1|恐怖鬼魂||杀|46|59587,敌人1|恐怖鬼魂||杀|46|59587,敌人2|古代鬼魂||杀|47|114527
Free,第六特异点 神圣圆桌领域 卡美洛,西之村遗迹,西の村跡,"岩山,山,",敌人1|基底之扎伊德||杀|32|19151,敌人1|基底之扎伊德||杀|32|19151,敌人1|怪腕之戈兹尔||杀|30|16244,敌人1|迅速之马库尔||杀|36|30780,敌人1|迅速之马库尔||杀|36|30780,敌人1|怪腕之戈兹尔||杀|36|29240,敌人3|百貌哈桑|影从者|杀|65|185642,,
Free,第六特异点 神圣圆桌领域 卡美洛,阿特拉斯院,アトラス院,"地下,",敌人1|雷电咒书||术|36|10682,敌人1|冰雪咒书||术|36|10682,敌人1|火焰咒书||术|36|10682,敌人1|自动防卫装置·二式||弓|35|37044,敌人1|自动防卫装置||弓|45|25695,敌人1|自动防卫装置||弓|45|25695,敌人1|自动防卫装置||弓|48|42425,敌人1|自动防卫装置·二式||弓|40|84672,敌人2|自动防卫装置·二式||弓|43|91022
Free,第六特异点 神圣圆桌领域 卡美洛,隐秘之村,隠れ村,"阳光,沙滩·沙漠,",敌人1|失心之人||杀|55|16749,敌人1|失心之人||杀|55|16749,敌人1|失心罪人||狂|55|29937,敌人2|伊夫利塔||术|45|301644,,,,,
Free,第六特异点 神圣圆桌领域 卡美洛,大神殿,大神殿,"神殿,",敌人1|失心之人||杀|58|11010,敌人1|失心罪人||狂|58|14337,,敌人1|失心罪人||狂|58|20071,敌人1|失心罪人||狂|58|20071,,敌人2|斯芬克斯||术|47|183173,敌人2|女王斯芬克斯||术|50|197521,
