活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,废都巴比伦,廃都バビロン,"阳光,都市,街区,",敌人1|乌利迪姆||骑|40|16552,敌人1|乌利迪姆||骑|40|16552,敌人1|乌利迪姆||骑|40|16552,敌人1|乌利迪姆||骑|44|30300,敌人1|乌利迪姆||骑|44|30300,敌人1|乌利迪姆||骑|44|30300,敌人2|乌利迪姆||骑|56|92385,敌人1|乌利迪姆||骑|48|79221,敌人1|乌利迪姆||骑|48|79221
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,北之高台,北の高台,"阳光,草原,",敌人1|乌利迪姆||骑|35|21724,敌人1|乌利迪姆||骑|35|21724,,敌人1|乌利迪姆||骑|38|39255,敌人1|乌利迪姆||骑|38|39255,敌人1|乌利迪姆||骑|38|39255,敌人2|乌修穆迦尔||杀|45|194749,,
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,黑色杉木林,黒い杉の森,"阳光,森林,",敌人1|乌利迪姆||骑|43|26661,敌人1|乌利迪姆||骑|43|26661,敌人1|乌利迪姆||骑|43|26661,敌人1|乌利迪姆||骑|45|34075,敌人1|乌利迪姆||骑|45|34075,敌人1|乌利迪姆||骑|45|34075,敌人1|乌利迪姆||骑|48|66018,敌人2|乌伽尔||骑|49|185958,
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,高原,高原,"草原,",敌人1|穆修胡休||枪|53|34683,敌人1|乌利迪姆||骑|52|28628,敌人1|乌利迪姆||骑|52|28628,敌人1|乌利迪姆||骑|54|29712,敌人1|乌利迪姆||骑|54|29712,敌人1|乌利迪姆||骑|54|29712,敌人1|穆修胡休||枪|60|58705,敌人1|穆修胡休||枪|60|58705,敌人2|穆修胡休||枪|70|86567
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,湿地,湿原,"草原,",敌人1|穆修胡休||枪|50|32711,敌人1|穆修胡休||枪|50|32711,,敌人1|穆修胡休||枪|55|46742,敌人1|穆修胡休||枪|55|46742,敌人1|穆修胡休||枪|55|46742,敌人1|穆修玛夫||弓|48|67393,敌人2|穆修玛夫||弓|55|104232,
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,乌尔,ウル,"阳光,水边,森林,都市,街区,",敌人1|豹人|豹人|剑|35|24088,敌人1|豹人|豹人|杀|40|25863,敌人1|豹人|豹人|剑|35|24088,敌人1|豹人|豹人|剑|40|32996,敌人1|豹人|豹人|杀|42|32575,敌人1|豹人|豹人|杀|42|32575,敌人1|奇美拉||狂|35|63709,敌人1|奇美拉||狂|35|63709,敌人2|奇美拉||狂|38|103682
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,埃里都,エリドゥ,"阳光,森林,神殿,",敌人1|双足飞龙||骑|50|18506,敌人1|双足飞龙||骑|50|18506,敌人1|恐惧飞龙||骑|42|23156,敌人1|双足飞龙||骑|55|16934,敌人1|恐惧飞龙||骑|45|30977,敌人1|恐惧飞龙||骑|45|30977,敌人2|原始双足飞龙||骑|55|155104,敌人1|恶魔飞龙||骑|43|55696,敌人1|恶魔飞龙||骑|43|55696
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,观测所,観測所,"阳光,水边,沙滩·沙漠,",敌人1|大寄居蟹||剑|50|17847,敌人1|大寄居蟹||剑|50|17847,敌人1|毒寄居蟹||剑|40|23219,敌人1|大寄居蟹||剑|55|21379,敌人1|毒寄居蟹||剑|50|36220,敌人1|毒寄居蟹||剑|50|36220,敌人1|千年寄居蟹||剑|53|118033,敌人2|千年寄居蟹||剑|59|187708,
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,芦苇原,葦の原,"阳光,草原,",敌人1|穆修胡休||枪|55|28764,敌人1|穆修胡休||枪|55|28764,敌人1|穆修胡休||枪|55|28764,敌人1|穆修胡休||枪|58|37864,敌人1|穆修胡休||枪|58|37864,敌人1|穆修胡休||枪|58|37864,敌人2|穆修胡休||枪|75|122015,敌人1|穆修胡休||枪|66|86034,敌人1|穆修胡休||枪|66|86034
Free,第七特异点 绝对魔兽战线 巴比伦尼亚,库撒,クタ,"荒野,地下,",敌人1|鬼魂||杀|53|20468,敌人1|鬼魂||杀|53|20468,敌人1|恐怖鬼魂||杀|50|27255,敌人1|恐怖鬼魂||杀|53|43319,敌人1|恐怖鬼魂||杀|53|43319,敌人1|古代鬼魂||杀|49|66333,敌人2|巨大鬼魂||杀|69|273999,,
