活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,代代木二丁目,代々木二丁目,"都市,街区,",敌人1|小混混|小混混A|术|56|25240,敌人1|小混混|小混混B|术|53|23968,,敌人1|小混混|小混混A|术|58|36297,敌人1|小混混|小混混B|术|62|45976,,敌人2|小混混|小混混A|术|82|150318,敌人1|小混混|小混混B|术|68|92435,
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,国道20号,国道20号,"都市,街区,",敌人1|雀蜂1|雀蜂A|弓|50|23263,敌人1|雀蜂2|雀蜂B|弓|48|12082,,敌人1|雀蜂2|雀蜂A|弓|55|13818,敌人1|雀蜂2|雀蜂B|弓|55|13818,敌人1|雀蜂1|雀蜂C|弓|57|35357,敌人3|新宿的Avenger|影从者|仇|55|270105,,
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,新宿站,新宿駅,"都市,地下,",敌人1|雀蜂1|雀蜂A|弓|52|24225,敌人1|雀蜂2|雀蜂B|弓|49|13867,敌人1|雀蜂2|雀蜂C|弓|49|13867,敌人1|雀蜂2|雀蜂A|弓|52|17991,敌人1|雀蜂2|雀蜂B|弓|52|17991,敌人1|雀蜂1|雀蜂C|弓|57|30937,敌人1|雀蜂1|雀蜂A|弓|60|92977,敌人2|雀蜂1|雀蜂B|弓|68|115889,敌人1|雀蜂1|雀蜂C|弓|60|92977
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,新宿四丁目,新宿四丁目,"都市,",敌人1|小混混|小混混A|术|55|10790,敌人1|小混混|小混混B|术|60|12883,敌人1|小混混|小混混C|术|55|10790,敌人1|小混混|小混混A|术|64|19699,敌人1|小混混|小混混B|术|62|18753,,,敌人2|超级奇美拉|超级奇美拉君|狂|43|334180,
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,歌舞伎町,歌舞伎町,"燃烧,都市,街区,",敌人1|花腔歌手|花腔歌手A|杀|45|12262,敌人1|花腔歌手|花腔歌手B|杀|48|16332,,敌人1|花腔歌手|花腔歌手A|杀|49|14667,敌人1|花腔歌手|花腔歌手B|杀|51|17371,敌人1|花腔歌手|花腔歌手C|杀|49|14667,敌人1|花腔歌手|花腔歌手A|杀|53|50516,敌人3|剧院魅影|影从者|狂|70|240948,敌人1|花腔歌手|花腔歌手B|杀|53|50516
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,枪身塔,バレルタワー,"都市,街区,",敌人1|花腔歌手|花腔歌手A|杀|42|11457,敌人1|花腔歌手|花腔歌手B|杀|45|18393,敌人1|花腔歌手|花腔歌手C|杀|42|11457,敌人1|花腔歌手|花腔歌手A|杀|50|27204,敌人1|花腔歌手|花腔歌手B|杀|53|32474,敌人1|花腔歌手|花腔歌手C|杀|50|27204,敌人1|花腔歌手|花腔歌手A|杀|55|74846,敌人1|花腔歌手|花腔歌手B|杀|55|74846,敌人2|花腔歌手|花腔歌手C|杀|64|174084
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,舞会会场,パーティー会場,"燃烧,都市,街区,",敌人1|花腔歌手|花腔歌手A|杀|44|11994,敌人1|花腔歌手|花腔歌手B|杀|48|13066,敌人1|花腔歌手|花腔歌手C|杀|44|11994,敌人1|雀蜂2|雀蜂A|弓|60|18801,敌人1|雀蜂1|雀蜂B|弓|61|28397,敌人1|雀蜂2|雀蜂C|弓|60|18801,敌人3|新宿的Assassin|影从者|杀|85|245040,敌人1|雀蜂1|雀蜂A|弓|65|50385,敌人1|雀蜂2|雀蜂B|弓|65|24431
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,塔顶楼,タワー最上階,"都市,街区,",敌人1|花腔歌手|花腔歌手A|杀|46|15036,敌人1|花腔歌手|花腔歌手B|杀|44|14392,,敌人1|花腔歌手|花腔歌手A|杀|48|26132,敌人1|花腔歌手|花腔歌手B|杀|48|26132,敌人1|花腔歌手|花腔歌手C|杀|50|27204,,敌人2|李尔王||剑|50|283904,
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,新宿御苑,新宿御苑,"森林,",敌人1|流氓|流氓A|术|53|19597,敌人1|流氓|流氓B|术|58|21394,敌人1|流氓|流氓C|术|53|19597,敌人1|流氓|流氓A|术|66|31784,敌人1|流氓|流氓B|术|60|28917,,,敌人2|恶魔||术|50|401055,
Free,亚种特异点Ⅰ 恶性隔绝魔境 新宿,新宿二丁目,新宿二丁目,"都市,",敌人1|咒语书||术|50|16462,敌人1|雷电咒书||术|45|19972,敌人1|火焰咒书||术|45|19972,敌人1|疾风咒书||术|50|25847,敌人1|冰雪咒书||术|50|25847,敌人1|魔导书||术|50|36680,,敌人2|观察机||弓|47|262183,
