活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,地底平原,地底平原,"山丘,地下,",敌人1|双足飞龙||骑|60|11050,敌人1|双足飞龙||骑|58|10691,,敌人1|双足飞龙||骑|62|15236,敌人1|双足飞龙||骑|65|15955,敌人1|双足飞龙||骑|62|15236,敌人2|白色奇美拉||狂|43|302851,敌人1|双足飞龙||骑|80|34250,
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,野营地,野営地,"地下,",敌人1|亚马逊人|亚马逊人|枪|58|11359,敌人1|亚马逊人|亚马逊人|枪|59|11550,,敌人1|亚马逊人|亚马逊人|枪|60|13697,敌人1|亚马逊人|亚马逊人|枪|60|13697,敌人1|亚马逊队长|亚马逊队长|枪|61|25803,敌人2|双角兽||枪|52|254518,敌人1|亚马逊人|亚马逊人|枪|62|32378,敌人1|亚马逊队长|亚马逊队长|枪|58|58828
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,河边城市,川辺の町,"都市,街区,地下,",敌人1|亚马逊队长|亚马逊队长|剑|52|16565,敌人1|亚马逊人|亚马逊人|剑|55|14241,敌人1|亚马逊人|亚马逊人|剑|55|14241,敌人1|亚马逊人|亚马逊人|剑|56|18116,敌人1|亚马逊队长|亚马逊队长|剑|59|29621,敌人1|亚马逊人|亚马逊人|剑|56|18116,敌人1|亚马逊人|亚马逊人|剑|62|48091,敌人2|亚马逊女王|亚马逊精英|剑|60|219629,敌人1|亚马逊队长|亚马逊队长|剑|62|43617
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,桃源乡,桃源郷,"地下,",敌人1|石魔偶||狂|55|16656,敌人1|石魔偶||狂|58|17540,敌人1|石魔偶||狂|55|16656,敌人1|石魔偶||狂|60|24172,敌人1|金属魔偶||狂|60|25616,敌人1|金属魔偶||狂|62|26500,,敌人2|水晶魔偶||狂|57|277318,
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,伊苏,イース,"水边,都市,街区,地下,",敌人1|女海盗||骑|53|10639,敌人1|女海盗||骑|55|11015,敌人1|女海盗||骑|53|10639,敌人1|女海盗||骑|55|12016,敌人1|女海盗||骑|55|12016,敌人1|女海盗||骑|57|12427,敌人1|女海盗||骑|66|23826,敌人3|弗朗西斯·德雷克|影从者|骑|77|311970,敌人1|女海盗||骑|66|23826
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,北部断崖,北の断崖,"山丘,地下,",敌人1|酷吏||杀|44|23988,,敌人1|酷吏||杀|44|23988,敌人1|酷吏||杀|52|38953,敌人1|酷吏||杀|55|43410,敌人1|酷吏||杀|52|38953,,敌人2|噬魂者||杀|55|266255,
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,不夜城,不夜城,"城池,都市,街区,地下,",敌人1|酷吏||杀|44|20989,,敌人1|酷吏||杀|44|20989,敌人1|酷吏||杀|47|28795,敌人1|酷吏||杀|49|30001,敌人1|酷吏||杀|47|28795,敌人3|不夜城的Assassin|影从者|杀|85|230420,敌人1|酷吏||杀|52|31871,敌人1|酷吏||杀|52|31871
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,山脚密林,山裾の密林,"森林,地下,",敌人1|亚马逊人|亚马逊人|弓|50|12571,敌人1|双足飞龙||骑|53|13057,敌人1|双足飞龙||骑|52|12817,敌人1|亚马逊队长|亚马逊队长|弓|48|23106,敌人1|亚马逊人|亚马逊人|弓|52|14720,敌人1|恐惧飞龙||骑|48|23410,敌人1|恐惧飞龙||骑|48|35115,敌人2|恶魔飞龙||骑|47|206818,敌人1|亚马逊队长|亚马逊队长|弓|48|42911
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,地底大河,地底大河,"水边,森林,地下,",敌人1|亚马逊人|亚马逊人|弓|50|15714,敌人1|亚马逊人|亚马逊人|弓|50|15714,敌人1|亚马逊队长|亚马逊队长|枪|45|22866,敌人1|亚马逊队长|亚马逊队长|枪|45|34299,敌人1|亚马逊人|亚马逊人|弓|55|17273,敌人1|亚马逊人|亚马逊人|弓|55|17273,敌人1|亚马逊人|亚马逊人|弓|58|25465,敌人1|亚马逊队长|亚马逊队长|枪|52|39622,敌人2|亚马逊女王|亚马逊精英|枪|56|207141
Free,亚种特异点Ⅱ 传承地底世界 雅戈泰,龙宫城,竜宮城,"水边,城池,地下,",敌人1|女海盗||骑|52|10451,敌人1|女海盗||骑|50|10055,敌人1|女海盗||骑|50|10055,敌人1|女海盗||骑|55|11015,敌人1|女海盗||骑|55|11015,敌人1|女海盗||骑|60|11955,,敌人2|许德拉||弓|65|344794,
