活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,寂静之森,静寂な森,"森林,",敌人1|灰狼||骑|55|12016,敌人1|灰狼||骑|55|12016,敌人1|灰狼||骑|60|13042,敌人1|灰狼||骑|60|16303,敌人1|灰狼||骑|60|16303,敌人1|灰狼||骑|65|17613,敌人1|灰狼||骑|74|93086,敌人2|灰狼||骑|80|143250,敌人1|灰狼||骑|74|93086
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,卡特家,カーター家,"街区,",敌人1|元老食尸鬼||杀|30|30685,敌人1|元老食尸鬼||杀|35|35865,敌人1|元老食尸鬼||杀|30|30685,敌人1|元老食尸鬼||杀|40|40944,敌人1|元老食尸鬼||杀|38|38912,,,敌人2|恶魔||术|41|199841,
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,公众集会堂,公会堂,"街区,",敌人1|夏塔克鸟||术|40|22291,敌人1|夏塔克鸟||术|39|21738,,敌人1|夏塔克鸟||术|44|40932,敌人1|夏塔克鸟||术|40|29722,敌人1|夏塔克鸟||术|40|29722,敌人1|夏塔克鸟||术|46|85551,敌人2|夏塔克鸟||术|50|176556,
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,码头,波止場,"水边,",敌人1|失心之人|粗暴之人|杀|50|10503,敌人1|失心之人|粗暴之人|杀|50|10503,敌人1|夏塔克鸟||术|33|25789,敌人1|夏塔克鸟||术|35|39053,敌人1|失心之人|粗暴之人|杀|52|11412,敌人1|失心之人|粗暴之人|杀|52|11412,敌人1|失心之人|粗暴之人|杀|55|31380,敌人2|夏塔克鸟||术|45|167416,敌人1|夏塔克鸟||术|38|70620
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,郊外的宅邸,郊外の屋敷,"街区,",敌人1|失心之人|粗暴之人|杀|50|10503,敌人1|失心之人|粗暴之人|杀|50|10503,敌人1|食尸鬼||狂|52|10886,敌人1|食尸鬼·嫉妒||狂|55|21906,敌人1|失心之人|粗暴之人|杀|53|20206,敌人1|失心之人|粗暴之人|杀|53|20206,敌人1|失心之人|粗暴之人|杀|60|56770,敌人2|食尸鬼·暴食||狂|63|190344,敌人1|食尸鬼||狂|60|62271
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,维特利家,ウェイトリー家,"街区,",敌人1|人工生命体||枪|41|10986,敌人1|人工生命体||枪|41|10986,敌人1|人工生命体||枪|43|11505,敌人1|人工生命体||枪|44|20913,敌人1|人工生命体||枪|44|20913,敌人1|人工生命体原型||枪|36|24749,敌人1|人工生命体原型||枪|39|64306,敌人2|人工生命体原型||枪|46|189802,敌人1|人工生命体原型||枪|39|64306
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,牧草地,牧草地,"无,",敌人1|灰狼||骑|48|13198,敌人1|食尸鬼||狂|55|13560,敌人1|灰狼||骑|48|13198,敌人1|食尸鬼·嫉妒||狂|59|23402,敌人1|灰狼||骑|50|18282,敌人1|灰狼||骑|50|18282,敌人1|灰狼||骑|55|40056,敌人2|食尸鬼·暴食||狂|66|206052,敌人1|食尸鬼·嫉妒||狂|65|77058
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,加罗丘陵,ガローの丘,"无,",敌人1|食尸鬼||狂|57|11866,敌人1|食尸鬼·嫉妒||狂|60|13077,敌人1|食尸鬼·暴食||狂|50|13057,敌人1|元老食尸鬼||杀|38|38912,敌人1|食尸鬼||狂|62|15206,敌人1|食尸鬼·嫉妒||狂|65|16695,敌人1|食尸鬼·暴食||狂|60|46866,敌人2|元老食尸鬼||杀|50|192012,敌人1|元老食尸鬼||杀|40|51180
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,隐匿处,隠れ家,"森林,",敌人1|灰狼||骑|47|10353,敌人1|灰狼||骑|48|10558,,敌人1|灰狼||骑|50|11883,敌人1|灰狼||骑|50|11883,敌人1|夏塔克鸟||术|38|42372,敌人1|灰狼||骑|60|32607,敌人2|夏塔克鸟||术|45|184157,敌人1|夏塔克鸟||术|38|70620
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,空房,空き家,"街区,",敌人1|食尸鬼||狂|58|12062,敌人1|食尸鬼·嫉妒||狂|60|13077,,敌人1|食尸鬼||狂|60|13586,敌人1|夏塔克鸟||术|37|34388,敌人1|食尸鬼·嫉妒||狂|62|14737,敌人1|夏塔克鸟||术|38|70620,敌人2|夏塔克鸟||术|46|188212,敌人1|食尸鬼||狂|38|55245
Free,亚种特异点Ⅳ 禁忌降临庭园 塞勒姆,拘留所,留置所,"无,",敌人1|龙牙兵|龙牙兵|剑|41|10879,敌人1|龙牙兵|龙牙兵|剑|42|11135,敌人1|龙牙兵|龙牙兵|剑|41|10879,敌人1|龙牙兵|龙牙兵|剑|44|15531,敌人1|龙牙兵|龙牙兵|剑|44|15531,敌人1|龙牙兵|龙牙兵|剑|45|15873,敌人1|龙牙兵|龙牙兵|剑|50|49820,敌人2|伊夫利塔||术|46|196767,敌人1|龙牙兵|龙牙兵|剑|50|49820
