活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,锚点,アンカーポイント,"无,",敌人1|咆哮兽|咆哮兽A|枪|45|17718,敌人1|咆哮兽|咆哮兽B|枪|46|18100,敌人1|咆哮兽|咆哮兽C|枪|45|17718,敌人1|咆哮兽|咆哮兽A|枪|48|23579,敌人1|咆哮兽|咆哮兽B|枪|49|24056,敌人1|咆哮兽|咆哮兽C|枪|48|23579,敌人1|咆哮兽|咆哮兽A|枪|51|53456,敌人1|双角兽||枪|48|211180,敌人1|咆哮兽|咆哮兽B|枪|52|56177
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,雅嘎·斯摩棱斯克,ヤガ?スモレンスク,"街区,",敌人1|雅嘎|雅嘎A|剑|41|16923,敌人1|雅嘎|雅嘎B|杀|48|16732,敌人1|雅嘎|雅嘎C|剑|42|14847,敌人1|雅嘎|雅嘎A|剑|44|25886,敌人1|雅嘎|雅嘎B|剑|45|26456,敌人1|雅嘎|雅嘎C|杀|48|16732,敌人1|雅嘎|雅嘎A|剑|64|160815,敌人1|雅嘎|雅嘎B|杀|52|45301,敌人1|雅嘎|雅嘎C|杀|54|46995
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,风穴冰窟,風穴氷窟,"地下,",敌人1|咆哮兽|咆哮兽A|枪|46|15083,敌人1|咆哮兽|咆哮兽B|枪|48|15719,敌人1|破坏兽||狂|50|23365,敌人1|破坏兽|破坏兽A|狂|51|32288,敌人1|破坏兽|破坏兽B|狂|53|33517,敌人1|咆哮兽||枪|49|24056,敌人1|咆哮兽|咆哮兽A|枪|52|47665,敌人1|咆哮兽|咆哮兽B|枪|70|123017,敌人1|破坏兽||狂|55|55897
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,反叛军的堡垒,叛逆軍の砦,"无,",敌人1|雅嘎|雅嘎A|剑|42|13610,敌人1|雅嘎|雅嘎B|剑|41|12088,敌人1|雅嘎|雅嘎C|剑|41|12088,敌人1|雅嘎|雅嘎A|剑|43|16961,敌人1|雅嘎|雅嘎B|剑|44|18120,敌人1|雅嘎|雅嘎C|剑|46|19458,敌人1|双角兽||枪|49|187102,敌人1|雅嘎|雅嘎A|剑|49|44540,敌人1|雅嘎|雅嘎B|剑|50|48061
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,雅嘎·瑟乔夫卡,ヤガ?スィチョーフカ,"无,",敌人1|雅嘎|雅嘎A|弓|48|18123,敌人1|雅嘎|雅嘎B|弓|47|17757,敌人1|魔猪||狂|42|9712,敌人1|魔猪||狂|44|15549,敌人1|雅嘎|雅嘎A|弓|49|24037,敌人1|雅嘎|雅嘎B|弓|50|27342,敌人1|魔猪|魔猪A|狂|46|53105,敌人1|雅嘎||弓|74|150876,敌人1|魔猪|魔猪B|狂|46|53417
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,烧光的村庄,焼き払われた村,"无,",敌人1|雅嘎|雅嘎A|剑|41|17648,敌人1|破坏兽||狂|47|10354,敌人1|雅嘎|雅嘎B|剑|43|18987,敌人1|破坏兽|破坏兽A|狂|52|21458,敌人1|破坏兽|破坏兽B|狂|50|20616,敌人1|雅嘎||剑|45|34392,敌人1|雅嘎|雅嘎A|剑|64|157075,敌人1|雅嘎|雅嘎B|剑|48|50698,敌人1|破坏兽||狂|56|40897
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,雅嘎·维亚济马,ヤガ?ヴャジマ,"森林,",敌人1|雅嘎||杀|47|20492,敌人1|咆哮兽|咆哮兽A|枪|45|11812,敌人1|咆哮兽|咆哮兽B|枪|46|12066,敌人1|雅嘎|雅嘎A|杀|48|23703,敌人1|雅嘎|雅嘎B|杀|50|26114,敌人1|咆哮兽||枪|47|15401,敌人1|咆哮兽||枪|55|55731,敌人1|雅嘎|雅嘎A|杀|53|70759,敌人1|雅嘎|雅嘎B|杀|73|145465
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,雅嘎·杰缅斯克,ヤガ?ジェメンスク,"无,",敌人1|杀戮猎兵|杀戮猎兵A|杀|37|10090,敌人1|杀戮猎兵|杀戮猎兵B|杀|38|14502,敌人1|杀戮猎兵|杀戮猎兵C|杀|37|10645,敌人1|杀戮猎兵|杀戮猎兵A|杀|39|21254,敌人1|杀戮猎兵|杀戮猎兵B|杀|38|20717,敌人1|杀戮猎兵|杀戮猎兵C|杀|40|23424,敌人1|双角兽||枪|48|180383,敌人1|杀戮猎兵|杀戮猎兵A|杀|43|50420,敌人1|杀戮猎兵|杀戮猎兵B|杀|43|50596
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,雅嘎·图拉,ヤガ?トゥーラ,"街区,",敌人1|杀戮猎兵|杀戮猎兵A|杀|37|15136,敌人1|杀戮猎兵|杀戮猎兵B|杀|38|15538,敌人1|雅嘎||弓|50|9428,敌人1|杀戮猎兵||杀|40|30233,敌人1|雅嘎|雅嘎A|弓|50|13199,敌人1|雅嘎|雅嘎B|弓|53|14028,敌人1|杀戮猎兵|杀戮猎兵A|杀|45|45982,敌人3|安东尼奥·萨列里|影从者|仇|63|190376,敌人1|杀戮猎兵|杀戮猎兵B|杀|45|45921
Free,异闻带No.1 永久冻土帝国 阿纳斯塔西娅,遭毁灭的村庄,潰れた村,"无,",敌人1|破坏兽||狂|50|12370,敌人1|杀戮猎兵|杀戮猎兵A|杀|38|20717,敌人1|杀戮猎兵|杀戮猎兵B|杀|38|20769,敌人1|破坏兽|破坏兽A|狂|52|21458,敌人1|破坏兽|破坏兽B|狂|51|20496,敌人1|杀戮猎兵||杀|40|38132,敌人1|破坏兽||狂|55|37768,敌人1|杀戮猎兵|杀戮猎兵A|杀|59|160414,敌人1|杀戮猎兵|杀戮猎兵B|杀|45|58244
