活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,登陆点,ランディングポイント,"阳光,",敌人1|冰雪之狼|冰雪之狼A|杀|39|10786,敌人1|冰雪之狼|冰雪之狼B|杀|41|11357,敌人1|冰雪之狼|冰雪之狼C|杀|39|10786,敌人1|冰雪之狼||杀|42|20967,,敌人2|冰雪加姆||杀|56|76957,敌人1|冰雪之狼|冰雪之狼A|杀|44|29205,敌人3|齐格鲁德|影从者|剑|52|181678,敌人1|冰雪之狼|冰雪之狼B|杀|42|27957
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,薄冰之丘,薄氷の丘,"阳光,森林,",敌人1|冰雪之狼|冰雪之狼A|杀|39|10786,,敌人1|冰雪之狼|冰雪之狼B|杀|38|10514,敌人1|霜之巨人|霜之巨人A|狂|45|62362,,敌人1|霜之巨人|霜之巨人B|狂|49|73467,敌人1|冰雪之狼|冰雪之狼A|杀|42|31107,敌人1|冰雪之狼|冰雪之狼B|杀|43|34239,敌人2|霜之巨人||狂|75|144628
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,巨人的花园,巨人の花園,"阳光,水边,",敌人1|霜之巨人|霜之巨人A|狂|35|21819,,敌人1|霜之巨人|霜之巨人B|狂|40|24771,敌人1|霜之巨人||狂|42|31821,,敌人1|山之巨人||狂|45|33774,敌人1|霜之巨人||狂|44|51431,敌人2|山之巨人|山之巨人A|狂|70|152001,敌人1|山之巨人|山之巨人B|狂|45|53401
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,第23村落,第23集落,"阳光,",敌人1|瓦尔基里|瓦尔基里A|骑|35|11074,敌人1|冰雪之狼||杀|37|12260,敌人1|瓦尔基里|瓦尔基里B|骑|33|10447,敌人1|冰雪之狼|冰雪之狼A|杀|40|22879,敌人1|瓦尔基里||骑|44|21525,敌人1|冰雪之狼|冰雪之狼B|杀|43|26207,敌人1|瓦尔基里|瓦尔基里A|骑|49|41136,敌人2|瓦尔基里|瓦尔基里B|骑|70|175754,敌人1|冰雪之狼||杀|47|51895
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,英雄的地窖,英雄の穴倉,"地下,",敌人1|霜之巨人|霜之巨人A|狂|35|24201,,敌人1|霜之巨人|霜之巨人B|狂|37|28125,敌人1|霜之巨人||狂|38|34089,,敌人1|水晶魔偶||狂|35|31146,敌人1|水晶魔偶|水晶魔偶A|狂|42|44891,敌人1|水晶魔偶|水晶魔偶B|狂|40|40297,敌人2|霜之巨人||狂|75|178980
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,雪与冰之城,雪と氷の城,"阳光,城池,",敌人1|瓦尔基里|瓦尔基里A|骑|40|9884,敌人1|瓦尔基里|瓦尔基里B|骑|44|10889,敌人1|瓦尔基里|瓦尔基里C|骑|43|10664,敌人1|瓦尔基里|瓦尔基里A|骑|47|30279,敌人1|瓦尔基里|瓦尔基里B|骑|45|24599,敌人1|瓦尔基里|瓦尔基里C|骑|48|33264,敌人1|瓦尔基里|瓦尔基里A|骑|49|41136,敌人1|瓦尔基里|瓦尔基里B|骑|50|49586,敌人2|瓦尔基里|瓦尔基里C|骑|78|180432
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,通往尽头之路,果てへと至る道,"阳光,森林,",敌人1|山之巨人|山之巨人A|狂|35|26460,,敌人1|山之巨人|山之巨人B|狂|37|27854,敌人1|山之巨人|山之巨人A|狂|40|35072,,敌人1|山之巨人|山之巨人B|狂|45|42185,敌人2|冰雪加姆||杀|70|189663,,敌人1|山之巨人||狂|48|59918
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,炎之馆,炎の館,"阳光,燃烧,山,",敌人1|瓦尔基里|瓦尔基里A|骑|35|13993,敌人1|瓦尔基里|瓦尔基里B|骑|37|14786,敌人1|火之巨人||狂|44|23456,敌人1|火之巨人|火之巨人A|狂|39|25554,敌人1|瓦尔基里||骑|48|19047,敌人1|火之巨人|火之巨人B|狂|40|26204,敌人1|瓦尔基里|瓦尔基里A|骑|48|42926,敌人2|瓦尔基里|瓦尔基里B|骑|68|180753,敌人1|火之巨人||狂|43|61289
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,第67村落,第67集落,"无,",敌人1|瓦尔基里|瓦尔基里A|骑|40|15975,敌人1|瓦尔基里|瓦尔基里B|骑|41|16411,敌人1|瓦尔基里|瓦尔基里C|骑|44|19753,敌人1|瓦尔基里||骑|48|26800,,敌人2|冰雪加姆||杀|56|71855,敌人1|瓦尔基里|瓦尔基里A|骑|45|29001,敌人2|瓦尔基里|瓦尔基里B|骑|68|184079,敌人1|瓦尔基里|瓦尔基里C|骑|50|32195
Free,异闻带No.2 无间冰焰世纪 诸神黄昏,北之境界,北の境界,"山,",敌人1|山之巨人||狂|35|22000,,敌人1|火之巨人||狂|37|24254,敌人1|山之巨人||狂|40|30094,,敌人1|火之巨人||狂|47|34833,敌人1|山之巨人|山之巨人A|狂|45|42185,敌人3|瓦尔基里|影从者|枪|90|198515,敌人1|山之巨人|山之巨人B|狂|48|42615
