活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,异闻带No.3 人智统合真国 SIN,播种地,シーディングポイント,"阳光,",敌人1|咆哮兽||枪|44|15024,敌人1|咆哮兽||枪|47|18481,敌人1|咆哮兽||枪|44|15024,敌人1|咆哮兽||枪|52|22130,敌人1|傀儡兵||骑|50|32253,敌人1|咆哮兽||枪|53|22543,敌人2|傀儡兵||骑|72|150496,敌人1|傀儡兵||骑|60|45605,敌人1|傀儡兵||骑|60|45605
Free,异闻带No.3 人智统合真国 SIN,邻村,隣村,"无,",敌人1|咆哮兽||枪|47|15401,,敌人1|咆哮兽||枪|45|12697,敌人1|霜之巨人||狂|40|32594,敌人1|咆哮兽||枪|52|20428,敌人1|咆哮兽||枪|50|20280,敌人2|霜之巨人||狂|72|165965,敌人1|咆哮兽||枪|53|30004,敌人1|霜之巨人||狂|54|63772
Free,异闻带No.3 人智统合真国 SIN,冰冷窟,氷冷窟,"地下,",敌人1|冰雪之狼||杀|38|10876,敌人1|冰雪之狼||杀|40|16342,敌人1|冰雪之狼||杀|36|10313,敌人1|冰雪之狼||杀|47|25596,敌人1|冰雪之狼||杀|41|17903,敌人1|冰雪之狼||杀|43|18761,敌人1|冰雪之狼||杀|56|45711,,敌人2|恶魔御座||杀|57|219826
Free,异闻带No.3 人智统合真国 SIN,芥之阵营,芥の陣幕,"阳光,",敌人1|傀儡兵||骑|46|11356,敌人1|傀儡兵||骑|50|17592,敌人1|傀儡兵||骑|48|11836,敌人1|山之巨人||狂|47|35927,敌人1|山之巨人||狂|44|33653,敌人1|傀儡兵||骑|51|20964,敌人1|傀儡兵||骑|45|30440,敌人3|兰陵王|影从者|剑|78|170800,敌人1|山之巨人||狂|45|50980
Free,异闻带No.3 人智统合真国 SIN,景阳原,景陽原,"无,",敌人1|霜之巨人||狂|43|21048,敌人1|霜之巨人||狂|42|19995,敌人1|霜之巨人||狂|42|19995,敌人1|霜之巨人||狂|45|30570,,敌人1|多多益善号||弓|45|45678,敌人3|项羽|影从者|狂|58|181003,,敌人1|多多益善号||弓|45|75654
Free,异闻带No.3 人智统合真国 SIN,山阳丘,山陽丘,"阳光,",敌人1|咆哮兽||枪|46|12066,敌人1|咆哮兽||枪|48|12575,敌人1|咆哮兽||枪|50|16028,敌人1|多多益善号||弓|43|30020,敌人1|咆哮兽||枪|52|17023,敌人1|咆哮兽||枪|54|17660,敌人1|多多益善号||弓|45|102775,,敌人3|赤兔马|影从者|骑|70|178211
Free,异闻带No.3 人智统合真国 SIN,收容所,収容所,"无,",敌人1|禁卫兵||杀|37|15136,敌人1|禁卫兵||杀|40|16342,,敌人1|多多益善号||弓|35|50502,敌人1|禁卫兵||杀|41|20141,敌人1|禁卫兵||杀|41|20141,敌人2|多多益善号||弓|47|178837,,敌人1|多多益善号||弓|38|80864
Free,异闻带No.3 人智统合真国 SIN,石泉峡,石泉峡,"无,",敌人1|傀儡兵||骑|47|15186,敌人1|傀儡兵||骑|46|10816,敌人1|傀儡兵||骑|46|10816,敌人1|多多益善号||弓|38|42148,敌人1|傀儡兵||骑|50|18179,敌人1|傀儡兵||骑|50|18179,敌人2|多多益善号||弓|50|174307,敌人1|多多益善号||弓|39|59930,敌人1|多多益善号||弓|40|61455
Free,异闻带No.3 人智统合真国 SIN,大坪峪,大坪峪,"阳光,",敌人1|禁卫兵||杀|50|23803,敌人1|傀儡兵||骑|48|11272,敌人1|傀儡兵||骑|48|11272,敌人1|傀儡兵||骑|52|21363,敌人1|傀儡兵||骑|51|20964,敌人1|禁卫兵||杀|54|36753,敌人2|禁卫兵||杀|60|180218,敌人1|禁卫兵||杀|57|58144,敌人1|傀儡兵||骑|55|32230
Free,异闻带No.3 人智统合真国 SIN,咸阳,咸陽,"阳光,都市,",敌人1|多多益善号||弓|36|30817,敌人1|禁卫兵||杀|40|20700,敌人1|禁卫兵||杀|39|20456,敌人1|多多益善号||弓|38|40944,敌人1|禁卫兵||杀|42|21769,敌人1|禁卫兵||杀|42|21769,敌人1|多多益善号||弓|40|57020,敌人1|禁卫兵||杀|50|34005,敌人3|秦良玉|影从者|枪|80|167337
Free,异闻带No.3 人智统合真国 SIN,八门洞,八門洞,"地下,",敌人1|禁卫兵||杀|43|17588,敌人1|禁卫兵||杀|43|17588,敌人1|禁卫兵||杀|45|20232,敌人1|禁卫兵||杀|46|25060,敌人1|禁卫兵||杀|48|26132,敌人1|禁卫兵||杀|45|24524,敌人2|禁卫兵||杀|60|183480,敌人1|禁卫兵||杀|50|44207,敌人1|禁卫兵||杀|50|47607
