活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,初始点,イニシエートポイント,"阳光,水边,",敌人1|争斗||狂|39|20368,敌人1|争斗||狂|40|25844,敌人1|争斗||狂|40|25844,敌人1|争斗||狂|42|30029,敌人1|七头长耳天马||枪|42|52165,敌人1|争斗||狂|43|30989,敌人2|七头长耳天马||枪|45|104549,,敌人1|七头长耳天马||枪|38|77177
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,比坵,ビーチュ,"阳光,都市,街区,",敌人1|争斗||狂|38|18918,敌人1|争斗||狂|37|18437,敌人1|争斗||狂|39|20368,敌人1|争斗||狂|40|23856,敌人1|争斗||狂|42|25069,敌人1|迦楼罗||术|30|52757,敌人3|威廉·退尔|影从者|弓|70|116375,敌人1|争斗||狂|50|37110,敌人1|迦楼罗||术|40|70395
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,隐遁洞窟,隠遁窟,"地下,",敌人1|争斗||狂|40|19880,,敌人1|争斗||狂|41|20410,敌人1|争斗||狂|45|33501,敌人1|娑罗摩||杀|35|47073,敌人1|争斗||狂|45|33501,敌人2|娑罗摩||杀|55|106893,敌人1|争斗||狂|52|45062,敌人1|娑罗摩||杀|48|70991
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,北之灵峰,北の霊峰,"阳光,",敌人1|亡者||狂|50|17140,敌人1|亡者||狂|51|17494,敌人1|亡者||狂|50|17140,,敌人2|摩诃那伽||枪|25|111078,,敌人1|亡者||狂|62|41055,敌人3|哪吒|影从者|狂|74|124718,敌人1|亡者||狂|65|42931
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,西之断层,西の断層,"阳光,水边,",敌人1|争斗||狂|43|23509,敌人1|争斗||狂|41|22451,敌人1|争斗||狂|39|21338,敌人1|达温||骑|29|52746,敌人1|争斗||狂|45|40201,敌人1|争斗||狂|44|37150,敌人2|达温||骑|47|111294,,敌人1|达温||骑|37|80847
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,迪瓦尔,ディーヴァール,"阳光,燃烧,",敌人1|争斗||狂|40|29820,敌人1|争斗||狂|40|29820,敌人1|争斗||狂|43|32058,敌人1|争斗||狂|45|40201,敌人1|争斗||狂|44|39335,敌人1|争斗||狂|46|41067,,敌人2|摩诃那伽||枪|40|175857,
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,神之空岩遗迹,神の空岩跡,"无,",敌人1|争斗||狂|37|24889,敌人1|争斗||狂|36|24240,敌人1|争斗||狂|35|23591,敌人1|争斗||狂|45|34617,敌人1|争斗||狂|44|33872,敌人1|争斗||狂|46|35363,敌人1|争斗||狂|51|58118,敌人2|争斗众||狂|52|107374,敌人1|争斗||狂|50|56902
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,南之小镇,南の町,"阳光,都市,街区,",敌人1|亡者||狂|48|16500,敌人1|亡者||狂|47|16178,敌人1|亡者||狂|46|15858,敌人1|亡者||狂|50|25710,敌人1|亡者||狂|51|26241,敌人1|亡者||狂|49|25230,敌人1|亡者||狂|60|50950,敌人3|阿斯克勒庇俄斯|影从者|术|70|121008,敌人1|争斗众||狂|48|100155
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,无尽之地,無窮の地,"阳光,",敌人1|迦楼罗||术|30|40095,,敌人1|迦楼罗||术|31|43742,,敌人2|摩诃那伽||枪|25|113357,,敌人3|马嘶|影从者|弓|80|140562,,敌人1|迦楼罗||术|50|70427
Free,异闻带No.4 创世灭亡轮回 由伽·刹多罗,东之花园,東の花園,"阳光,水边,",敌人1|迦楼罗||术|25|34242,,敌人1|迦楼罗||术|26|36617,敌人1|伊夫利塔||术|33|73683,,敌人1|迦楼罗||术|32|46393,敌人2|伊夫利塔||术|47|101377,敌人1|迦楼罗||术|39|61021,敌人1|迦楼罗||术|40|62574
