活动,章名称,地点cn,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,异闻带No.5 星间都市山脉 奥林匹斯,滑翔点,滑翔点,阳光,敌人1|起源蛇女|起源蛇女A|术|25|29276,敌人1|起源蛇女|起源蛇女B|术|26|30438,敌人1|起源蛇女|起源蛇女C|术|25|29276,敌人1|起源蛇女|起源蛇女A|术|29|39575,敌人1|起源蛇女|起源蛇女B|术|28|38220,敌人1|起源蛇女|起源蛇女C|术|29|39575,敌人2|起源奇美拉||狂|44|113247,,敌人1|起源蛇女||术|31|51078
Free,异闻带No.5 星间都市山脉 奥林匹斯,星间都市西部,星间都市西部,"阳光,都市",,敌人1|广域歼灭兵器||枪|28|51959,,,敌人2|奥林匹斯兵||枪|41|100357,,敌人2|奥林匹斯兵||枪|45|148570,,敌人1|广域歼灭兵器||枪|29|71735
Free,异闻带No.5 星间都市山脉 奥林匹斯,星间都市南部,星间都市南部,"燃烧,都市",敌人1|对人歼灭装置|对人歼灭装置A|杀|31|26296,敌人1|对人歼灭装置|对人歼灭装置B|杀|32|27126,敌人1|对人歼灭装置|对人歼灭装置C|杀|32|27126,敌人1|对人歼灭装置|对人歼灭装置A|杀|33|30212,敌人2|奥林匹斯兵||枪|41|70250,敌人1|对人歼灭装置|对人歼灭装置B|杀|34|31110,敌人2|奥林匹斯兵||枪|46|90917,敌人1|对人歼灭装置|对人歼灭装置A|杀|36|35362,敌人1|对人歼灭装置|对人歼灭装置B|杀|35|34397
Free,异闻带No.5 星间都市山脉 奥林匹斯,星间都市东部,星间都市东部,都市,敌人1|红宝石魔偶|红宝石魔偶A|狂|48|25243,敌人1|水晶魔偶||狂|39|35830,敌人1|红宝石魔偶|红宝石魔偶B|狂|49|25754,敌人2|奥林匹斯兵||枪|42|59955,敌人1|红宝石魔偶|红宝石魔偶A|狂|50|30306,敌人1|红宝石魔偶|红宝石魔偶B|狂|51|30954,敌人1|红宝石魔偶||狂|52|40481,敌人1|水晶魔偶||狂|41|50164,敌人2|奥林匹斯兵||枪|46|74983
Free,异闻带No.5 星间都市山脉 奥林匹斯,祭坛街,祭坛街,,敌人1|起源蛇女|起源蛇女A|术|27|27837,敌人1|起源蛇女|起源蛇女B|术|28|28860,敌人1|起源蛇女|起源蛇女C|术|27|27837,敌人1|起源蛇女|起源蛇女A|术|30|35083,敌人1|起源蛇女|起源蛇女B|术|29|33922,敌人2|奥林匹斯兵||枪|43|63123,敌人2|奥林匹斯兵||枪|47|84259,敌人1|起源蛇女|起源蛇女A|术|31|41555,敌人1|起源蛇女|起源蛇女B|术|32|42882
Free,异闻带No.5 星间都市山脉 奥林匹斯,破神同盟基地,破神同盟基地,,敌人1|对人歼灭装置|对人歼灭装置A|杀|33|30663,敌人1|对人歼灭装置|对人歼灭装置B|杀|32|29752,敌人1|对人歼灭装置|对人歼灭装置C|杀|32|29752,敌人1|对人歼灭装置|对人歼灭装置A|杀|35|35830,敌人1|对人歼灭装置|对人歼灭装置B|杀|35|35830,敌人1|对人歼灭装置|对人歼灭装置C|杀|36|36835,敌人1|对人歼灭装置||杀|37|43390,,敌人2|广域歼灭兵器||枪|44|141441
Free,异闻带No.5 星间都市山脉 奥林匹斯,大工房,大工房,都市,敌人1|对人歼灭装置|对人歼灭装置A|杀|32|26251,敌人1|对人歼灭装置|对人歼灭装置B|杀|33|27055,敌人1|对人歼灭装置|对人歼灭装置C|杀|32|26251,敌人1|对人歼灭装置|对人歼灭装置A|杀|35|34397,敌人1|对人歼灭装置|对人歼灭装置B|杀|36|35362,敌人1|对人歼灭装置|对人歼灭装置C|杀|37|36326,敌人3|狄俄斯库里|影从者|剑|72|112873,,敌人2|起源许德拉||弓|67|86302
Free,异闻带No.5 星间都市山脉 奥林匹斯,空中庭园,空中庭园,"阳光,水边",敌人1|对人歼灭装置|对人歼灭装置A|杀|32|31502,敌人1|对人歼灭装置|对人歼灭装置B|杀|33|32466,敌人1|对人歼灭装置|对人歼灭装置C|杀|33|32466,敌人1|对人歼灭装置|对人歼灭装置A|杀|35|39174,敌人1|对人歼灭装置|对人歼灭装置B|杀|36|40273,敌人1|对人歼灭装置|对人歼灭装置C|杀|36|40273,敌人1|对人歼灭装置||杀|38|49204,,敌人2|刻耳柏洛斯||骑|42|123925
Free,异闻带No.5 星间都市山脉 奥林匹斯,机神回廊,机神回廊,,敌人1|起源蛇女|起源蛇女A|术|28|30420,敌人1|起源蛇女|起源蛇女B|术|29|31499,敌人1|起源蛇女|起源蛇女C|术|28|30420,敌人1|起源蛇女|起源蛇女A|术|30|40931,敌人1|起源蛇女|起源蛇女B|术|30|40931,敌人1|起源蛇女|起源蛇女C|术|31|42421,敌人1|起源蛇女||术|32|51816,,敌人2|刻耳柏洛斯||骑|43|126833
Free,异闻带No.5 星间都市山脉 奥林匹斯,大祭坛,大祭坛,,敌人1|对人歼灭装置|对人歼灭装置A|杀|35|26753,敌人1|对人歼灭装置|对人歼灭装置B|杀|35|26753,敌人1|对人歼灭装置|对人歼灭装置C|杀|34|26002,敌人1|对人歼灭装置|对人歼灭装置A|杀|37|32290,敌人1|对人歼灭装置|对人歼灭装置B|杀|37|32290,敌人1|对人歼灭装置|对人歼灭装置C|杀|38|33148,敌人1|起源蛇女|起源蛇女A|术|31|48481,敌人1|起源蛇女|起源蛇女B|术|32|50029,敌人3|欧罗巴|影从者|骑|66|125762
Free,异闻带No.5 星间都市山脉 奥林匹斯,地下机构带·外围部,地下机构带·外围部,,敌人1|对人歼灭装置|对人歼灭装置A|杀|38|42989,敌人1|对人歼灭装置|对人歼灭装置B|杀|35|37263,敌人1|对人歼灭装置|对人歼灭装置C|杀|30|30704,敌人1|对人歼灭装置|对人歼灭装置A|杀|40|53385,敌人1|对人歼灭装置|对人歼灭装置B|杀|36|44202,敌人1|对人歼灭装置|对人歼灭装置C|杀|32|37190,敌人1|对人歼灭装置|对人歼灭装置A|杀|35|42996,敌人1|对人歼灭装置|对人歼灭装置B|杀|38|51794,敌人1|对人歼灭装置|对人歼灭装置C|杀|41|61543
