,活动,章名称,地点cn,地点jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
39,FA击退战,幼龙级,开膛手杰克击退战,ジャック・ザ・リッパー撃退戦_幼竜級,40,,敌人3|开膛手杰克|“黑”之Assassin|杀|36|260044,,,,,,,
40,FA击退战,成龙级,开膛手杰克击退战,ジャック・ザ・リッパー撃退戦_成竜級,40,,敌人3|开膛手杰克|“黑”之Assassin|杀|63|450789,,,,,,,
41,FA击退战,邪龙级,开膛手杰克击退战,ジャック・ザ・リッパー撃退戦_邪竜級,40,,敌人3|开膛手杰克|“黑”之Assassin|杀|72|680114,,,,,,,
42,FA击退战,幼龙级,莎士比亚击退战,シェイクスピア撃退戦_幼竜級,40,,敌人3|威廉·莎士比亚|“红”之Caster|术|69|260011,,,,,,,
43,FA击退战,成龙级,莎士比亚击退战,シェイクスピア撃退戦_成竜級,40,,敌人3|威廉·莎士比亚|“红”之Caster|术|75|450598,,,,,,,
44,FA击退战,邪龙级,莎士比亚击退战,シェイクスピア撃退戦_邪竜級,40,,敌人3|威廉·莎士比亚|“红”之Caster|术|90|680300,,,,,,,
45,FA击退战,幼龙级,阿维斯布隆击退战,アヴィケブロン撃退戦_幼竜級,40,,敌人3|阿维斯布隆|“黑”之Caster|术|58|260507,,,,,,,
46,FA击退战,成龙级,阿维斯布隆击退战,アヴィケブロン撃退戦_成竜級,40,,敌人3|阿维斯布隆|“黑”之Caster|术|75|451233,,,,,,,
47,FA击退战,邪龙级,阿维斯布隆击退战,アヴィケブロン撃退戦_邪竜級,40,,敌人3|阿维斯布隆|“黑”之Caster|术|90|679030,,,,,,,
48,FA击退战,幼龙级,弗兰肯斯坦击退战,フランケンシュタイン撃退戦_幼竜級,40,,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|30|280134,,,,,,,
49,FA击退战,成龙级,弗兰肯斯坦击退战,フランケンシュタイン撃退戦_成竜級,40,,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|54|451050,,,,,,,
50,FA击退战,邪龙级,弗兰肯斯坦击退战,フランケンシュタイン撃退戦_邪竜級,40,,敌人3|弗兰肯斯坦|“黑”之Berserker|狂|62|688044,,,,,,,
51,FA击退战,幼龙级,阿塔兰忒击退战,アタランテ撃退戦_幼竜級,40,,敌人3|阿塔兰忒|“红”之Archer|弓|60|260411,,,,,,,
52,FA击退战,成龙级,阿塔兰忒击退战,アタランテ撃退戦_成竜級,40,,敌人3|阿塔兰忒|“红”之Archer|弓|76|450351,,,,,,,
53,FA击退战,邪龙级,阿塔兰忒击退战,アタランテ撃退戦_邪竜級,40,,敌人3|阿塔兰忒|“红”之Archer|弓|85|696208,,,,,,,
54,FA击退战,幼龙级,斯巴达克斯击退战,スパルタクス撃退戦_幼竜級,40,,敌人3|斯巴达克斯|“红”之Berserker|狂|58|280744,,,,,,,
55,FA击退战,成龙级,斯巴达克斯击退战,スパルタクス撃退戦_成竜級,40,,敌人3|斯巴达克斯|“红”之Berserker|狂|80|441450,,,,,,,
56,FA击退战,邪龙级,斯巴达克斯击退战,スパルタクス撃退戦_邪竜級,40,,敌人3|斯巴达克斯|“红”之Berserker|狂|90|673320,,,,,,,
57,FA击退战,幼龙级,莫德雷德击退战,モードレッド撃退戦_幼竜級,40,,敌人3|莫德雷德|“红”之Saber|剑|35|260045,,,,,,,
58,FA击退战,成龙级,莫德雷德击退战,モードレッド撃退戦_成竜級,40,,敌人3|莫德雷德|“红”之Saber|剑|62|453690,,,,,,,
59,FA击退战,邪龙级,莫德雷德击退战,モードレッド撃退戦_邪竜級,40,,敌人3|莫德雷德|“红”之Saber|剑|71|683100,,,,,,,
