序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
5,尼禄·克劳狄乌斯,技能1,充能,强化后,复刻版:深海电脑乐土 SE.RA.PH -Second Ballet-,富之杯 B,自身NP增加,效果[NP增加],自身,,,,,,,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
5,尼禄·克劳狄乌斯,技能1,充能,强化后,复刻版:深海电脑乐土 SE.RA.PH -Second Ballet-,富之杯 B,"仅在[水边]或[都市]场地上时,Arts指令卡性能提升(3回合)",状态[Arts指令卡性能提升],自身,,水边,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
5,尼禄·克劳狄乌斯,技能1,充能,强化后,复刻版:深海电脑乐土 SE.RA.PH -Second Ballet-,富之杯 B,精神弱化耐性提升(3回合),,自身,,,,,,3.0,,7,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
5,尼禄·克劳狄乌斯,技能1,充能,强化后,复刻版:深海电脑乐土 SE.RA.PH -Second Ballet-,富之杯 B,HP回复,,自身,,,,,,,,7,幅度,500,650,800,950,1100,1250,1400,1550,1700,2000
5,尼禄·克劳狄乌斯,技能1,弱化耐性提升,强化前,,头痛宿疾 B,自身的精神弱化耐性提升(3回合),,自身,,,,,,3.0,,7,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
5,尼禄·克劳狄乌斯,技能1,弱化耐性提升,强化前,,头痛宿疾 B,HP回复,,自身,,,,,,,,7,幅度,500,650,800,950,1100,1250,1400,1550,1700,2000
5,尼禄·克劳狄乌斯,技能2,回血,未强化,,皇帝特权 EX,付与自身各种随机效果,,自身,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
5,尼禄·克劳狄乌斯,技能2,回血,未强化,,皇帝特权 EX,60%概率自身攻击力提升(3回合),状态[攻击力提升],自身,,,60%,,,3.0,,7,幅度,22%,24.20%,26.40%,28.60%,30.80%,33%,35.20%,37.40%,39.60%,44%
5,尼禄·克劳狄乌斯,技能2,回血,未强化,,皇帝特权 EX,60%概率自身防御力提升(3回合),状态[防御力提升],自身,,,60%,,,3.0,,7,幅度,22%,24.20%,26.40%,28.60%,30.80%,33%,35.20%,37.40%,39.60%,44%
5,尼禄·克劳狄乌斯,技能2,回血,未强化,,皇帝特权 EX,HP回复,,自身,,,,,,,,7,幅度,1200,1420,1640,1860,2080,2300,2520,2740,2960,3400
5,尼禄·克劳狄乌斯,技能3,毅力,未强化,,纵使三度迎来落日 A,付与自身毅力状态(3次·5回合),,自身,,,,,3.0,5.0,,12,幅度,300,330,360,390,420,450,480,510,540,600
