序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
8,阿蒂拉,技能1,宝具威力提升,强化前,,军略 B,己方全体的宝具威力提升(1回合),状态[宝具威力提升],己方全体,,,,,,1.0,,7,幅度,9%,9.90%,10.80%,11.70%,12.60%,13.50%,14.40%,15.30%,16.20%,18%
8,阿蒂拉,技能1,宝具威力提升,强化后,从者强化任务 第11弹,神之鞭 A,己方全体的宝具威力提升(3回合),状态[宝具威力提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
8,阿蒂拉,技能1,宝具威力提升,强化后,从者强化任务 第11弹,神之鞭 A,解除敌方全体的防御强化状态,效果[解除防御强化状态],敌方全体,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
8,阿蒂拉,技能2,弱化耐性提升,强化后,「Fate/EXTELLA」发售纪念活动,天性的肉体 EX,自身的攻击弱化状态耐性提升(3回合),状态[攻击弱化状态耐性提升],自身,,,,,,3.0,,7,幅度,60%,66%,72%,78%,84%,90%,96%,102%,108%,120%
8,阿蒂拉,技能2,弱化耐性提升,强化后,「Fate/EXTELLA」发售纪念活动,天性的肉体 EX,HP大回复,,自身,,,,,,,,7,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
8,阿蒂拉,技能2,弱化耐性提升,强化后,「Fate/EXTELLA」发售纪念活动,天性的肉体 EX,暴击星集中度提升(1回合),,自身,,,,,,1.0,,7,幅度,100%,120%,140%,160%,180%,200%,220%,240%,260%,300%
8,阿蒂拉,技能2,弱化耐性提升,强化前,,天性的肉体 D,自身的攻击弱化状态耐性提升(3回合),状态[攻击弱化状态耐性提升],自身,,,,,,3.0,,7,幅度,40%,44%,48%,52%,56%,60%,64%,68%,72%,80%
8,阿蒂拉,技能2,弱化耐性提升,强化前,,天性的肉体 D,HP大回复,,自身,,,,,,,,7,幅度,1000,1150,1300,1450,1600,1750,1900,2050,2200,2500
8,阿蒂拉,技能3,加攻,未强化,,星之纹章 EX,自身的攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,7,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
8,阿蒂拉,技能3,加攻,未强化,,星之纹章 EX,获得暴击星,,自身,,,,,,,,7,幅度,5,6,7,8,9,10,11,12,13,15
