序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
22,罗穆路斯,技能1,弱化耐性提升,强化前,,天性的肉体 C,自身的攻击弱化状态耐性提升(3回合),状态[攻击弱化状态耐性提升],自身,,,,,,3.0,,7,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
22,罗穆路斯,技能1,弱化耐性提升,强化前,,天性的肉体 C,HP大回复,,自身,,,,,,,,7,幅度,1000,1150,1300,1450,1600,1750,1900,2050,2200,2500
22,罗穆路斯,技能1,弱化耐性提升,强化后,从者强化任务 第11弹,浪漫之风 B+,自身的攻击弱化状态耐性提升(3回合),状态[攻击弱化状态耐性提升],自身,,,,,,3.0,,7,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
22,罗穆路斯,技能1,弱化耐性提升,强化后,从者强化任务 第11弹,浪漫之风 B+,HP大回复,,自身,,,,,,,,7,幅度,2000,2200,2400,2600,2800,3000,3200,3400,3600,4000
22,罗穆路斯,技能1,弱化耐性提升,强化后,从者强化任务 第11弹,浪漫之风 B+,NP增加,效果[NP增加],自身,,,,,,,,7,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
22,罗穆路斯,技能2,回血,未强化,,皇帝特权 EX,付与自身各种随机效果,,自身,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
22,罗穆路斯,技能2,回血,未强化,,皇帝特权 EX,60%概率自身攻击力提升(3回合),状态[攻击力提升],自身,,,60%,,,3.0,,7,幅度,22%,24.20%,26.40%,28.60%,30.80%,33%,35.20%,37.40%,39.60%,44%
22,罗穆路斯,技能2,回血,未强化,,皇帝特权 EX,60%概率自身防御力提升(3回合),状态[防御力提升],自身,,,60%,,,3.0,,7,幅度,22%,24.20%,26.40%,28.60%,30.80%,33%,35.20%,37.40%,39.60%,44%
22,罗穆路斯,技能2,回血,未强化,,皇帝特权 EX,HP回复,,自身,,,,,,,,7,幅度,1200,1420,1640,1860,2080,2300,2520,2740,2960,3400
22,罗穆路斯,技能3,毅力,未强化,,七丘 A,付与己方单体毅力状态(1次·1回合),,己方单体,,,,,1.0,1.0,,9,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
22,罗穆路斯,技能3,毅力,未强化,,七丘 A,Buster指令卡性能提升(1回合),状态[Buster指令卡性能提升],己方单体,,,,,,1.0,,9,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
