序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
77,尼古拉·特斯拉,技能1,NP获得量提升,强化前,,流电学 A,自身的NP获得量提升(3回合),状态[NP获得量提升],自身,,,,,,3.0,,7,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
77,尼古拉·特斯拉,技能1,NP获得量提升,强化后,幕间物语活动 第10弹,特斯拉线圈 A+,自身的NP获得量提升(3回合),状态[NP获得量提升],自身,,,,,,3.0,,7,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
77,尼古拉·特斯拉,技能1,NP获得量提升,强化后,幕间物语活动 第10弹,特斯拉线圈 A+,除自身以外己方全体的NP获得量提升(3回合),状态[NP获得量提升],除自身以外己方全体,,,,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
77,尼古拉·特斯拉,技能2,毅力,强化后,从者强化任务 第7弹,天赋的睿智 EX,付与自身各种随机效果,,自身,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
77,尼古拉·特斯拉,技能2,毅力,强化后,从者强化任务 第7弹,天赋的睿智 EX,80%概率防御力提升(3回合),状态[防御力提升],自身,,,80%,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
77,尼古拉·特斯拉,技能2,毅力,强化后,从者强化任务 第7弹,天赋的睿智 EX,80%概率宝具威力提升(3回合),状态[宝具威力提升],自身,,,80%,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
77,尼古拉·特斯拉,技能2,毅力,强化后,从者强化任务 第7弹,天赋的睿智 EX,攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
77,尼古拉·特斯拉,技能2,毅力,强化后,从者强化任务 第7弹,天赋的睿智 EX,付与毅力状态(1次·3回合),,自身,,,,,1.0,3.0,,7,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
77,尼古拉·特斯拉,技能2,毅力,强化前,,天赋的睿智 A,付与自身各种随机效果,,自身,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
77,尼古拉·特斯拉,技能2,毅力,强化前,,天赋的睿智 A,80%概率防御力提升(3回合),状态[防御力提升],自身,,,80%,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
77,尼古拉·特斯拉,技能2,毅力,强化前,,天赋的睿智 A,80%概率宝具威力提升(1回合),状态[宝具威力提升],自身,,,80%,,,1.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
77,尼古拉·特斯拉,技能2,毅力,强化前,,天赋的睿智 A,付与毅力状态(1次·3回合),,自身,,,,,1.0,3.0,,7,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
77,尼古拉·特斯拉,技能3,充能,未强化,,星之开拓者 EX,自身增加NP,效果[NP增加],自身,,,,,,,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
77,尼古拉·特斯拉,技能3,充能,未强化,,星之开拓者 EX,付与无敌贯通状态(3回合),,自身,,,,,,3.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
77,尼古拉·特斯拉,技能3,充能,未强化,,星之开拓者 EX,获得暴击星,,自身,,,,,,,,8,幅度,10,10,10,10,10,10,10,10,10,10
