序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
86,谜之女主角X,技能1,眩晕,强化前,,支援炮击 EX,1回合后以中概率付与敌方全体眩晕状态(1回合),状态[付与特性[晕眩]],敌方全体,,,,,,1.0,1.0,10,概率,60%,62%,64%,66%,68%,70%,72%,74%,76%,80%
86,谜之女主角X,技能1,眩晕,强化后,从者强化任务 第11弹,支援炮击XEX EX,敌方全体的防御力下降(3回合),状态[防御力下降],敌方全体,,,,,,3.0,,9,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
86,谜之女主角X,技能1,眩晕,强化后,从者强化任务 第11弹,支援炮击XEX EX,1回合后以中概率付与敌方全体眩晕状态(1回合),状态[付与特性[晕眩]],敌方全体,,,,,,1.0,1.0,9,概率,60%,62%,64%,66%,68%,70%,72%,74%,76%,80%
86,谜之女主角X,技能2,无敌,强化后,从者强化任务 第7弹,Saber之星 C++,付与自身无敌状态(1回合),,自身,,,,,,1.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
86,谜之女主角X,技能2,无敌,强化后,从者强化任务 第7弹,Saber之星 C++,获得大量暴击星,,自身,,,,,,,,7,幅度,10,11,12,13,14,15,16,17,18,20
86,谜之女主角X,技能2,出星,强化前,,直觉 C+,大量获得暴击星,,自身,,,,,,,,7,幅度,4,5,6,7,8,9,10,11,12,14
86,谜之女主角X,技能3,掉星率增加,强化前,,银河流星剑 C,自身攻击[Saber]时的暴击星掉落率超幅提升(3回合),,自身,,,,,,3.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
86,谜之女主角X,技能3,掉星率增加,强化前,,银河流星剑 C,付与[Saber]特攻状态(3回合),状态[特攻[Saber]],自身,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
86,谜之女主角X,技能3,掉星率增加,强化后,Saber Wars 2 ～前往初始的宇宙～,银河流星剑XEX A,自身攻击[Saber]时的暴击星掉落率超幅提升(3回合),,自身,,,,,,3.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
86,谜之女主角X,技能3,掉星率增加,强化后,Saber Wars 2 ～前往初始的宇宙～,银河流星剑XEX A,付与[Saber]特攻状态(3回合),状态[特攻[Saber]],自身,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
86,谜之女主角X,技能3,掉星率增加,强化后,Saber Wars 2 ～前往初始的宇宙～,银河流星剑XEX A,攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
