序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
87,芬恩·麦克库尔,技能1,掉星率增加,强化后,从者强化任务 第7弹,千里眼（丽） B++,己方全体的暴击星掉落率提升(3回合),,己方全体,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
87,芬恩·麦克库尔,技能1,掉星率增加,强化后,从者强化任务 第7弹,千里眼（丽） B++,NP获得量提升(3回合),状态[NP获得量提升],己方全体,,,,,,3.0,,8,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
87,芬恩·麦克库尔,技能1,掉星率增加,强化前,,千里眼 B,自身暴击星掉落率提升(3回合),,自身,,,,,,3.0,,8,幅度,19%,20.90%,22.80%,24.70%,26.60%,28.50%,30.40%,32.30%,34.20%,38%
87,芬恩·麦克库尔,技能2,回避,强化后,雀之旅馆的活动日志～阎魔亭繁盛记～,华丽奔放 A,有概率回避攻击(1回合),,自身,,,,,,1.0,,9,概率,60%,64%,68%,72%,76%,80%,84%,88%,92%,100%
87,芬恩·麦克库尔,技能2,回避,强化后,雀之旅馆的活动日志～阎魔亭繁盛记～,华丽奔放 A,付与自身目标集中状态(1回合),,自身,,,,,,1.0,,9,幅度,100%,120%,140%,160%,180%,200%,220%,240%,260%,300%
87,芬恩·麦克库尔,技能2,回避,强化后,雀之旅馆的活动日志～阎魔亭繁盛记～,华丽奔放 A,NP增加,效果[NP增加],自身,,,,,,,,9,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
87,芬恩·麦克库尔,技能2,回避,强化后,雀之旅馆的活动日志～阎魔亭繁盛记～,华丽奔放 A,对[女性]的魅惑耐性下降(3回合)【负面效果】,状态[付与特性[魅惑耐性下降]],自身,,,,,,3.0,,9,幅度,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
87,芬恩·麦克库尔,技能2,回避,强化前,,祸水红颜 A,有概率回避攻击(1回合),,自身,,,,,,1.0,,12,概率,60%,64%,68%,72%,76%,80%,84%,88%,92%,100%
87,芬恩·麦克库尔,技能2,回避,强化前,,祸水红颜 A,付与自身目标集中状态(1回合),,自身,,,,,,1.0,,12,幅度,100%,120%,140%,160%,180%,200%,220%,240%,260%,300%
87,芬恩·麦克库尔,技能2,回避,强化前,,祸水红颜 A,对[女性]的魅惑耐性下降(3回合)【负面效果】,,自身,,,,,,3.0,,12,幅度,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
87,芬恩·麦克库尔,技能3,蓝放,未强化,,魔术 B,自身的Arts指令卡性能提升(1回合),状态[Arts指令卡性能提升],自身,,,,,,1.0,,7,幅度,24%,25.60%,27.20%,28.80%,30.40%,32%,33.60%,35.50%,36.80%,40%
