序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
99,女王梅芙,技能1,每回合回复,未强化,,黄金律（体） A,付与自身弱化无效状态(3回合),状态[弱化无效],自身,,,,,,3.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
99,女王梅芙,技能1,每回合回复,未强化,,黄金律（体） A,每回合HP回复状态(3回合),,自身,,,,,,3.0,,8,幅度,500,550,600,650,700,750,800,850,900,1000
99,女王梅芙,技能1,每回合回复,未强化,,黄金律（体） A,每回合获得NP(3回合),状态[每回合NP增加],自身,,,,,,3.0,,8,幅度,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
99,女王梅芙,技能2,加攻,强化后,魔法少女纪行 ～Prisma·Codes～,女王的调教 A,己方全体的攻击力提升(3回合),状态[攻击力提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
99,女王梅芙,技能2,加攻,强化后,魔法少女纪行 ～Prisma·Codes～,女王的调教 A,己方全体[男性]的攻击力提升(3回合),状态[攻击力提升],己方全体,男性,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
99,女王梅芙,技能2,加攻,强化后,魔法少女纪行 ～Prisma·Codes～,女王的调教 A,自身HP回复,,自身,,,,,,,,7,幅度,1000,1100,1200,1300,1400,1500,1600,1700,1800,2000
99,女王梅芙,技能2,加攻,强化前,,领袖气质 B,己方全体的攻击力提升(3回合),状态[攻击力提升],己方全体,,,,,,3.0,,7,幅度,9%,9.90%,10.80%,11.70%,12.60%,13.50%,14.40%,15.30%,16.20%,18%
99,女王梅芙,技能3,魅惑,强化后,幕间物语活动 第7弹,我心爱的蜂蜜酒 C,付与敌方单体[男性]魅惑状态(1回合),状态[付与特性[魅惑]],敌方单体,男性,,,,,1.0,,9,幅度,50%,53%,56%,59%,62%,65%,68%,71%,74%,80%
99,女王梅芙,技能3,魅惑,强化后,幕间物语活动 第7弹,我心爱的蜂蜜酒 C,敌方单体防御力下降(1回合),状态[防御力下降],敌方单体,,,,,,1.0,,9,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
99,女王梅芙,技能3,魅惑,强化前,,魅惑的美声 C,付与敌方单体[男性]魅惑状态(1回合),状态[付与特性[魅惑]],敌方单体,男性,,,,,1.0,,9,幅度,50%,53%,56%,59%,62%,65%,68%,71%,74%,80%
