序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
107,安哥拉曼纽,技能1,暴击发生率下降,未强化,,右齿啮咬 C,敌方单体的暴击率下降(3回合),状态[付与特性[暴击发生率下降]],敌方单体,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
107,安哥拉曼纽,技能2,灭气,未强化,,左齿啮咬 C,减少敌方单体充能,,敌方单体,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
107,安哥拉曼纽,技能2,灭气,未强化,,左齿啮咬 C,攻击力降低(3回合),状态[攻击力下降],敌方单体,,,,,,3.0,,8,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
107,安哥拉曼纽,技能3,绿放,强化后,迦勒底男性精选2019推荐召唤,四夜终末 EX,付与自身每回合Quick指令卡性能逐渐提升效果(5回合),,自身,,,,,,5.0,,9,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
107,安哥拉曼纽,技能3,绿放,强化后,迦勒底男性精选2019推荐召唤,四夜终末 EX,初始提升,状态[Quick指令卡性能提升],自身,,,,,,,,9,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
107,安哥拉曼纽,技能3,绿放,强化后,迦勒底男性精选2019推荐召唤,四夜终末 EX,每回合额外提升,状态[每回合Quick指令卡性能提升],自身,,,,,,,,9,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
107,安哥拉曼纽,技能3,绿放,强化后,迦勒底男性精选2019推荐召唤,四夜终末 EX,付与毅力状态(1次·6回合·能与其他毅力状态重复),,自身,,,,,1.0,6.0,,9,幅度,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%
107,安哥拉曼纽,技能3,绿放,强化后,迦勒底男性精选2019推荐召唤,四夜终末 EX,5回合后无法战斗【负面效果】,,自身,,,,,,1.0,5.0,9,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
107,安哥拉曼纽,技能3,绿放,强化前,,死灭愿望 A,付与自身每回合Quick指令卡性能逐渐提升效果(5回合),,自身,,,,,,5.0,,10,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
107,安哥拉曼纽,技能3,绿放,强化前,,死灭愿望 A,初始提升,状态[Quick指令卡性能提升],自身,,,,,,,,10,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
107,安哥拉曼纽,技能3,绿放,强化前,,死灭愿望 A,每回合额外提升,状态[每回合Quick指令卡性能提升],自身,,,,,,,,10,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
107,安哥拉曼纽,技能3,绿放,强化前,,死灭愿望 A,5回合后无法战斗【负面效果】,,自身,,,,,,1.0,5.0,10,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
