序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
127,莱昂纳多·达·芬奇,技能1,毅力,未强化,,天赋的睿智 EX,付与自身各种随机效果,,自身,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
127,莱昂纳多·达·芬奇,技能1,毅力,未强化,,天赋的睿智 EX,85%概率防御力提升(3回合),状态[防御力提升],自身,,,85%,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
127,莱昂纳多·达·芬奇,技能1,毅力,未强化,,天赋的睿智 EX,85%概率宝具威力提升(1回合),状态[宝具威力提升],自身,,,85%,,,1.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
127,莱昂纳多·达·芬奇,技能1,毅力,未强化,,天赋的睿智 EX,付与毅力状态(1次·3回合),,自身,,,,,1.0,3.0,,7,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
127,莱昂纳多·达·芬奇,技能2,每回合回复,未强化,,黄金律（体） B,付与自身弱化无效状态(2回合),状态[弱化无效],自身,,,,,,2.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
127,莱昂纳多·达·芬奇,技能2,每回合回复,未强化,,黄金律（体） B,每回合HP回复状态(3回合),,自身,,,,,,3.0,,8,幅度,500,550,600,650,700,750,800,850,900,1000
127,莱昂纳多·达·芬奇,技能2,每回合回复,未强化,,黄金律（体） B,每回合获得NP(3回合),状态[每回合NP增加],自身,,,,,,3.0,,8,幅度,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
127,莱昂纳多·达·芬奇,技能3,充能,未强化,,星之开拓者 EX,自身增加NP,效果[NP增加],自身,,,,,,,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
127,莱昂纳多·达·芬奇,技能3,充能,未强化,,星之开拓者 EX,付与无敌贯通状态(3回合),,自身,,,,,,3.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
127,莱昂纳多·达·芬奇,技能3,充能,未强化,,星之开拓者 EX,获得暴击星,,自身,,,,,,,,8,幅度,10,10,10,10,10,10,10,10,10,10
