序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
128,玉藻前(Lancer),技能1,加攻,未强化,,沙滩之花 EX,己方全体的攻击力提升(3回合),状态[攻击力提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
128,玉藻前(Lancer),技能1,加攻,未强化,,沙滩之花 EX,己方全体[男性]的暴击星掉落率提升(3回合),,己方全体,,,,,,3.0,,7,幅度,22%,24%,26%,28%,30%,32%,34%,36%,38%,42%
128,玉藻前(Lancer),技能2,魅惑,未强化,,盛夏咒术 A,付与敌方单体魅惑状态(1回合),状态[付与特性[魅惑]],敌方单体,,,,,,1.0,,9,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
128,玉藻前(Lancer),技能2,魅惑,未强化,,盛夏咒术 A,防御力下降(3回合),状态[防御力下降],敌方单体,,,,,,3.0,,9,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
128,玉藻前(Lancer),技能2,魅惑,未强化,,盛夏咒术 A,付与诅咒状态(5回合),状态[付与特性[诅咒]],敌方单体,,,,,,5.0,,9,幅度,500,550,600,650,700,750,800,850,900,1000
128,玉藻前(Lancer),技能2,魅惑,未强化,,盛夏咒术 A,增加充能1格【负面效果】,,敌方单体,,,,,,,,9,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
128,玉藻前(Lancer),技能3,无敌,未强化,,女神变生 B,付与自身无敌状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
128,玉藻前(Lancer),技能3,无敌,未强化,,女神变生 B,暴击威力提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
128,玉藻前(Lancer),技能3,无敌,未强化,,女神变生 B,暴击星发生率提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
128,玉藻前(Lancer),技能3,无敌,未强化,,女神变生 B,NP获得量提升(1回合),状态[NP获得量提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
128,玉藻前(Lancer),技能3,无敌,未强化,,女神变生 B,弱化耐性提升(1回合),状态[弱化状态耐性提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
128,玉藻前(Lancer),技能3,无敌,未强化,,女神变生 B,HP回复量提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
128,玉藻前(Lancer),技能3,无敌,未强化,,女神变生 B,1回合后付与自身眩晕状态【负面效果】,状态[付与特性[晕眩]],自身,,,,,,1.0,1.0,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
