序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
137,克洛伊·冯·爱因兹贝伦,技能1,回避,未强化,,心眼（伪） B,付与自身回避状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
137,克洛伊·冯·爱因兹贝伦,技能1,回避,未强化,,心眼（伪） B,暴击威力提升(3回合),,自身,,,,,,3.0,,8,幅度,18%,19.80%,21.60%,23.40%,25.20%,27%,28.80%,30.60%,32.40%,36%
137,克洛伊·冯·爱因兹贝伦,技能2,三色魔放,未强化,,投影魔术 B,自身的Quick指令卡性能提升(1回合),状态[Quick指令卡性能提升],自身,,,,,,1.0,,7,幅度,20%,21.50%,23%,24.50%,26%,27.50%,29%,30.50%,32%,35%
137,克洛伊·冯·爱因兹贝伦,技能2,三色魔放,未强化,,投影魔术 B,Arts指令卡性能提升(1回合),状态[Arts指令卡性能提升],自身,,,,,,1.0,,7,幅度,20%,21.50%,23%,24.50%,26%,27.50%,29%,30.50%,32%,35%
137,克洛伊·冯·爱因兹贝伦,技能2,三色魔放,未强化,,投影魔术 B,Buster指令卡性能提升(1回合),状态[Buster指令卡性能提升],自身,,,,,,1.0,,7,幅度,20%,21.50%,23%,24.50%,26%,27.50%,29%,30.50%,32%,35%
137,克洛伊·冯·爱因兹贝伦,技能3,充能,强化后,「剧场版Fate/kaleid liner 魔法少女☆伊莉雅 雪下的誓言」公开纪念活动,吻魔 B++,自身NP增加,效果[NP增加],自身,,,,,,,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
137,克洛伊·冯·爱因兹贝伦,技能3,充能,强化后,「剧场版Fate/kaleid liner 魔法少女☆伊莉雅 雪下的誓言」公开纪念活动,吻魔 B++,暴击星掉落率提升(3回合),,自身,,,,,,3.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
137,克洛伊·冯·爱因兹贝伦,技能3,充能,强化后,「剧场版Fate/kaleid liner 魔法少女☆伊莉雅 雪下的誓言」公开纪念活动,吻魔 B++,己方全体的[伊莉雅]的强化成功率提升(3回合),状态[强化成功率提升],己方全体,伊莉雅,,,,,3.0,,8,幅度,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
137,克洛伊·冯·爱因兹贝伦,技能3,充能,强化前,,吻魔 B,自身NP增加,效果[NP增加],自身,,,,,,,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
137,克洛伊·冯·爱因兹贝伦,技能3,充能,强化前,,吻魔 B,暴击星掉落率提升(3回合),,自身,,,,,,3.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
