序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
138,伊丽莎白·巴托里〔勇者〕,技能1,无敌,未强化,,勇者大原则 EX,付与自身无敌状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
138,伊丽莎白·巴托里〔勇者〕,技能1,无敌,未强化,,勇者大原则 EX,NP获得量提升(1回合),状态[NP获得量提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
138,伊丽莎白·巴托里〔勇者〕,技能2,红放,未强化,,魔力放出（勇气） D,自身的Buster指令卡性能提升(1回合),状态[Buster指令卡性能提升],自身,,,,,,1.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
138,伊丽莎白·巴托里〔勇者〕,技能2,红放,未强化,,魔力放出（勇气） D,防御力提升(1回合),状态[防御力提升],自身,,,,,,1.0,,7,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
138,伊丽莎白·巴托里〔勇者〕,技能3,特攻,未强化,,绯红勇者传说 EX,【仅限NP在100%以上时能使用】减少自身NP100%【负面效果】,效果[NP减少],自身,,,,,,,,8,幅度,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
138,伊丽莎白·巴托里〔勇者〕,技能3,特攻,未强化,,绯红勇者传说 EX,付与下列效果中的一个,,自身,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
138,伊丽莎白·巴托里〔勇者〕,技能3,特攻,未强化,,绯红勇者传说 EX,自身的Buster指令卡性能提升(3回合),状态[Buster指令卡性能提升],自身,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
138,伊丽莎白·巴托里〔勇者〕,技能3,特攻,未强化,,绯红勇者传说 EX,付与己方全体无敌状态(1回合),,己方全体,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
138,伊丽莎白·巴托里〔勇者〕,技能3,特攻,未强化,,绯红勇者传说 EX,己方全体回复HP,,己方全体,,,,,,,,8,幅度,2000,2100,2200,2300,2400,2500,2600,2700,2800,3000
138,伊丽莎白·巴托里〔勇者〕,技能3,特攻,未强化,,绯红勇者传说 EX,己方全体的攻击力提升(1回合),,己方全体,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
138,伊丽莎白·巴托里〔勇者〕,技能3,特攻,未强化,,绯红勇者传说 EX,大量获得暴击星,,己方全体,,,,,,,,8,幅度,30,32,34,36,38,40,42,44,46,50
