序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
139,克娄巴特拉,技能1,回血,未强化,,皇帝特权 A,付与自身各种随机效果,,自身,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
139,克娄巴特拉,技能1,回血,未强化,,皇帝特权 A,60%概率自身攻击力提升(3回合),状态[攻击力提升],自身,,,60%,,,3.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
139,克娄巴特拉,技能1,回血,未强化,,皇帝特权 A,60%概率自身防御力提升(3回合),状态[防御力提升],自身,,,60%,,,3.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
139,克娄巴特拉,技能1,回血,未强化,,皇帝特权 A,HP回复,,自身,,,,,,,,7,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
139,克娄巴特拉,技能2,回合充能,未强化,,黄金律（富&体） B,自身NP获得量提升(3回合),状态[NP获得量提升],自身,,,,,,3.0,,8,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
139,克娄巴特拉,技能2,回合充能,未强化,,黄金律（富&体） B,付与每回合获得NP的状态(3回合),状态[每回合NP增加],自身,,,,,,3.0,,8,幅度,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
139,克娄巴特拉,技能2,回合充能,未强化,,黄金律（富&体） B,付与每回合回复HP的状态(3回合),,自身,,,,,,3.0,,8,幅度,500,550,600,650,700,750,800,850,900,1000
139,克娄巴特拉,技能3,无敌,未强化,,女神的加护 C,付与自身无敌状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
139,克娄巴特拉,技能3,无敌,未强化,,女神的加护 C,解除弱化状态,效果[解除弱化状态],自身,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
139,克娄巴特拉,技能3,无敌,未强化,,女神的加护 C,获得暴击星,,自身,,,,,,,,8,幅度,10,11,12,13,14,15,16,17,18,20
