序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
154,“山中老人”,技能1,毅力,强化前,,战斗续行 EX,付与自身毅力状态(1次·5回合),,自身,,,,,1.0,5.0,,9,幅度,3000,3200,3400,3600,3800,4000,4200,4400,4600,5000
154,“山中老人”,技能1,毅力,强化后,TV动画「Fate/Grand Order -绝对魔兽战线巴比伦尼亚-」播放纪念活动 第4弹,死之渊 EX,付与自身毅力状态(1次·5回合),,自身,,,,,1.0,5.0,,9,幅度,3000,3200,3400,3600,3800,4000,4200,4400,4600,5000
154,“山中老人”,技能1,毅力,强化后,TV动画「Fate/Grand Order -绝对魔兽战线巴比伦尼亚-」播放纪念活动 第4弹,死之渊 EX,付与[死之渊]状态(5回合),,自身,,,,,,5.0,,9,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
154,“山中老人”,技能1,毅力,强化后,TV动画「Fate/Grand Order -绝对魔兽战线巴比伦尼亚-」播放纪念活动 第4弹,死之渊 EX,付与毅力发动时「解除自身[死之渊]状态,,自身,,,,,,,,9,幅度,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø
154,“山中老人”,技能1,毅力,强化后,TV动画「Fate/Grand Order -绝对魔兽战线巴比伦尼亚-」播放纪念活动 第4弹,死之渊 EX,NP增加,效果[NP增加],自身,,,,,,,,9,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
154,“山中老人”,技能1,毅力,强化后,TV动画「Fate/Grand Order -绝对魔兽战线巴比伦尼亚-」播放纪念活动 第4弹,死之渊 EX,Buster指令卡性能大幅提升(1回合)」的状态(1次·5回合),状态[Buster指令卡性能提升],自身,,,,,1.0,5.0,,9,幅度,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%
154,“山中老人”,技能2,弱化耐性提升,未强化,,信仰的加护 A+++,自身的弱化状态耐性提升(3回合),状态[弱化状态耐性提升],自身,,,,,,3.0,,7,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
154,“山中老人”,技能2,弱化耐性提升,未强化,,信仰的加护 A+++,HP大回复,,自身,,,,,,,,7,幅度,1000,1150,1300,1450,1600,1750,1900,2050,2200,2500
154,“山中老人”,技能2,弱化耐性提升,未强化,,信仰的加护 A+++,防御力提升(1回合),状态[防御力提升],自身,,,,,,1.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
154,“山中老人”,技能2,弱化耐性提升,未强化,,信仰的加护 A+++,攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
154,“山中老人”,技能3,即死耐性下降,未强化,,晚钟 EX,敌方全体即死耐性下降(3回合),状态[付与特性[即死耐性下降]],敌方全体,,,,,,3.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
154,“山中老人”,技能3,即死耐性下降,未强化,,晚钟 EX,自身Buster指令卡性能提升(1回合),状态[Buster指令卡性能提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
