序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
155,谜之女主角X〔Alter〕,技能1,回血,强化前,,∞黑豆沙馅 EX,自身HP回复量提升(3回合),,自身,,,,,,3.0,,7,幅度,20%,23%,26%,29%,32%,35%,38%,41%,44%,50%
155,谜之女主角X〔Alter〕,技能1,回血,强化前,,∞黑豆沙馅 EX,HP回复,,自身,,,,,,,,7,幅度,1000,1100,1200,1300,1400,1500,1600,1700,1800,2000
155,谜之女主角X〔Alter〕,技能1,回血,强化后,幕间物语活动 第9弹,∞栗子馅 EX,自身HP回复量提升(3回合),,自身,,,,,,3.0,,7,幅度,20%,23%,26%,29%,32%,35%,38%,41%,44%,50%
155,谜之女主角X〔Alter〕,技能1,回血,强化后,幕间物语活动 第9弹,∞栗子馅 EX,HP回复,,自身,,,,,,,,7,幅度,1000,1100,1200,1300,1400,1500,1600,1700,1800,2000
155,谜之女主角X〔Alter〕,技能1,回血,强化后,幕间物语活动 第9弹,∞栗子馅 EX,付与自身每回合HP回复状态(3回合),,自身,,,,,,3.0,,7,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
155,谜之女主角X〔Alter〕,技能1,回血,强化后,幕间物语活动 第9弹,∞栗子馅 EX,Quick指令卡暴击威力提升(1次·3回合),,自身,,,,,1.0,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
155,谜之女主角X〔Alter〕,技能1,回血,强化后,幕间物语活动 第9弹,∞栗子馅 EX,Arts指令卡暴击威力提升(1次·3回合),,自身,,,,,1.0,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
155,谜之女主角X〔Alter〕,技能1,回血,强化后,幕间物语活动 第9弹,∞栗子馅 EX,Buster指令卡暴击威力提升(1次·3回合),,自身,,,,,1.0,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
155,谜之女主角X〔Alter〕,技能2,绿放,强化后,从者强化任务 第7弹,刹那无影剑 C+,自身的Quick指令卡性能提升(3回合),状态[Quick指令卡性能提升],自身,,,,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
155,谜之女主角X〔Alter〕,技能2,绿放,强化后,从者强化任务 第7弹,刹那无影剑 C+,获得大量暴击星,,自身,,,,,,,,7,幅度,10,11,12,13,14,15,16,17,18,20
155,谜之女主角X〔Alter〕,技能2,出星,强化前,,直觉 C,获得大量暴击星,,自身,,,,,,,,7,幅度,4,5,6,7,8,9,10,11,12,14
155,谜之女主角X〔Alter〕,技能3,反集星,未强化,,王之看不见的手 C,己方单体暴击星集中度下降(1回合),,己方单体,,,,,,1.0,,7,幅度,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
155,谜之女主角X〔Alter〕,技能3,反集星,未强化,,王之看不见的手 C,己方全体的攻击力提升(3回合),状态[攻击力提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
