序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
163,Meltryllis,技能1,回避,未强化,,罪恶芭蕾 A,付与自身回避状态(2次·3回合),,自身,,,,,2.0,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
163,Meltryllis,技能1,回避,未强化,,罪恶芭蕾 A,获得暴击星,,自身,,,,,,,,7,幅度,5,6,7,8,9,10,11,12,13,15
163,Meltryllis,技能2,加攻,未强化,,嗜虐体质 A,自身的攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,7,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
163,Meltryllis,技能2,加攻,未强化,,嗜虐体质 A,防御力下降(3回合)【负面效果】,状态[防御力下降],自身,,,,,,3.0,,7,幅度,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
163,Meltryllis,技能3,宝具威力下降,强化后,从者强化任务 第8弹,Melt病毒 EX,敌方全体宝具威力下降(1回合),状态[宝具威力下降],敌方全体,,,,,,1.0,,8,幅度,20%,23%,26%,29%,32%,35%,38%,41%,44%,50%
163,Meltryllis,技能3,宝具威力下降,强化后,从者强化任务 第8弹,Melt病毒 EX,除自身以外的己方全体宝具威力下降(1回合)【负面效果】,状态[宝具威力下降],除自身以外己方全体,,,,,,1.0,,8,幅度,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%
163,Meltryllis,技能3,宝具威力下降,强化后,从者强化任务 第8弹,Melt病毒 EX,自身宝具威力提升(2回合),状态[宝具威力提升],自身,,,,,,2.0,,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
163,Meltryllis,技能3,宝具威力下降,强化前,,Melt病毒 EX,敌方全体宝具威力下降(1回合),状态[宝具威力下降],敌方全体,,,,,,1.0,,8,幅度,20%,23%,26%,29%,32%,35%,38%,41%,44%,50%
163,Meltryllis,技能3,宝具威力下降,强化前,,Melt病毒 EX,除自身以外的己方全体宝具威力下降(1回合)【负面效果】,状态[宝具威力下降],除自身以外己方全体,,,,,,1.0,,8,幅度,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%
163,Meltryllis,技能3,宝具威力下降,强化前,,Melt病毒 EX,1回合后付与自身宝具威力提升的状态(1回合),状态[宝具威力提升],自身,,,,,,1.0,1.0,8,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
