序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
164,Passionlip,技能1,加防,未强化,,胸部之谷 A,付与自身伤害减免状态(3次·5回合),状态[伤害减免],自身,,,,,3.0,5.0,,7,幅度,500,550,600,650,700,750,800,850,900,1000
164,Passionlip,技能1,加防,未强化,,胸部之谷 A,付与弱化无效状态(3次·5回合),状态[弱化无效],自身,,,,,3.0,5.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
164,Passionlip,技能2,嘲讽,强化后,幕间物语活动 第6弹,受虐体质 A+,付与自身目标集中状态(1回合),,自身,,,,,,1.0,,6,幅度,300%,300%,300%,300%,300%,300%,300%,300%,300%,300%
164,Passionlip,技能2,嘲讽,强化后,幕间物语活动 第6弹,受虐体质 A+,防御力提升(1回合),状态[防御力提升],自身,,,,,,1.0,,6,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
164,Passionlip,技能2,嘲讽,强化后,幕间物语活动 第6弹,受虐体质 A+,"HP为50%以下时,HP越少攻击力越高的状态(3回合)",,自身,,,,,,3.0,,6,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
164,Passionlip,技能2,嘲讽,强化后,幕间物语活动 第6弹,受虐体质 A+,HP50%时,,自身,,,,,,,,6,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
164,Passionlip,技能2,嘲讽,强化后,幕间物语活动 第6弹,受虐体质 A+,HP1时,,自身,,,,,,,,6,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
164,Passionlip,技能2,嘲讽,强化前,,受虐体质 A,付与自身目标集中状态(1回合),,自身,,,,,,1.0,,6,幅度,300%,300%,300%,300%,300%,300%,300%,300%,300%,300%
164,Passionlip,技能2,嘲讽,强化前,,受虐体质 A,防御力提升(1回合),状态[防御力提升],自身,,,,,,1.0,,6,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
164,Passionlip,技能3,加攻加防,未强化,,废弃&崩溃 EX,付与自身攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,8,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
164,Passionlip,技能3,加攻加防,未强化,,废弃&崩溃 EX,无敌贯通状态(3回合),,自身,,,,,,3.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
164,Passionlip,技能3,加攻加防,未强化,,废弃&崩溃 EX,付与攻击时一定概率发生即死效果的状态(1次·3回合),,自身,,,,,1.0,3.0,,8,概率,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
164,Passionlip,技能3,加攻加防,未强化,,废弃&崩溃 EX,防御力提升(1回合),状态[防御力提升],自身,,,,,,1.0,,8,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
164,Passionlip,技能3,加攻加防,未强化,,废弃&崩溃 EX,付与眩晕状态(1回合)【负面效果】,状态[付与特性[晕眩]],自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
