序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
167,杀生院祈荒,技能1,弱化耐性下降,强化后,从者强化任务 第8弹,千里眼（兽） D+++,敌方单体的弱化耐性下降(1回合),状态[弱化状态耐性下降],敌方单体,,,,,,1.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
167,杀生院祈荒,技能1,弱化耐性下降,强化后,从者强化任务 第8弹,千里眼（兽） D+++,Arts指令卡耐性下降(1回合),状态[Arts指令卡攻击耐性下降],敌方单体,,,,,,1.0,,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
167,杀生院祈荒,技能1,弱化耐性下降,强化后,从者强化任务 第8弹,千里眼（兽） D+++,自身NP增加,效果[NP增加],自身,,,,,,,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
167,杀生院祈荒,技能1,弱化耐性下降,强化前,,千里眼（兽） D,敌方单体的弱化耐性下降(1回合),状态[弱化状态耐性下降],敌方单体,,,,,,1.0,,9,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
167,杀生院祈荒,技能1,弱化耐性下降,强化前,,千里眼（兽） D,自身NP增加,效果[NP增加],自身,,,,,,,,9,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
167,杀生院祈荒,技能2,灭气,强化后,从者强化任务 第10弹,五停心观 A+,敌方全体充能减少1格,,敌方全体,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
167,杀生院祈荒,技能2,灭气,强化后,从者强化任务 第10弹,五停心观 A+,解除强化状态,效果[解除强化状态],敌方全体,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
167,杀生院祈荒,技能2,灭气,强化后,从者强化任务 第10弹,五停心观 A+,防御力下降(3回合),状态[防御力下降],敌方全体,,,,,,3.0,,8,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
167,杀生院祈荒,技能2,灭气,强化前,,五停心观 A,敌方全体充能减少1格,,敌方全体,,,,,,,,9,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
167,杀生院祈荒,技能2,灭气,强化前,,五停心观 A,防御力下降(3回合),状态[防御力下降],敌方全体,,,,,,3.0,,9,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
167,杀生院祈荒,技能3,无敌,未强化,,女神变生 EX,付与自身无敌状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
167,杀生院祈荒,技能3,无敌,未强化,,女神变生 EX,暴击威力提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
167,杀生院祈荒,技能3,无敌,未强化,,女神变生 EX,NP获得量提升(1回合),状态[NP获得量提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
167,杀生院祈荒,技能3,无敌,未强化,,女神变生 EX,弱化耐性提升(1回合),状态[弱化状态耐性提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
167,杀生院祈荒,技能3,无敌,未强化,,女神变生 EX,HP回复量提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
167,杀生院祈荒,技能3,无敌,未强化,,女神变生 EX,HP大量减少【负面效果】,,自身,,,,,,,,8,幅度,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
