序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能1,加攻,未强化,,夏日清扫工！ A,自身的攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能1,加攻,未强化,,夏日清扫工！ A,己方全体的Quick指令卡性能提升(3回合),状态[Quick指令卡性能提升],己方全体,,,,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能2,减冷却,强化前,,指导 A,己方单体的技能冷却减少1回合,,己方单体,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能2,减冷却,强化前,,指导 A,暴击星掉落率提升(3回合),,己方单体,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能2,减冷却,强化前,,指导 A,HP减少【负面效果】,,己方单体,,,,,,,,8,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能2,减冷却,强化后,从者强化任务 第11弹,指导 A+,己方单体的技能冷却减少1回合,,己方单体,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能2,减冷却,强化后,从者强化任务 第11弹,指导 A+,暴击星掉落率提升(3回合),,己方单体,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能2,减冷却,强化后,从者强化任务 第11弹,指导 A+,HP减少【负面效果】,,己方单体,,,,,,,,8,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能2,减冷却,强化后,从者强化任务 第11弹,指导 A+,1回合后付与最大HP增加的状态(5回合),,己方单体,,,,,,1.0,1.0,8,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
179,阿尔托莉雅·潘德拉贡〔Alter〕(Rider),技能3,绿放,未强化,,重新装填 C,自身的Quick指令卡性能提升(1次·3回合),状态[Quick指令卡性能提升],自身,,,,,1.0,3.0,,5,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
