序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
182,伊什塔尔(Rider),技能1,红绿放,未强化,,闪耀水之衣 A,己方全体的Quick指令卡性能提升(3回合),状态[Quick指令卡性能提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
182,伊什塔尔(Rider),技能1,红绿放,未强化,,闪耀水之衣 A,Buster指令卡性能提升(3回合),状态[Buster指令卡性能提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
182,伊什塔尔(Rider),技能1,红绿放,未强化,,闪耀水之衣 A,NP获得量提升(3回合),状态[NP获得量提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
182,伊什塔尔(Rider),技能2,回避,未强化,,加速过弯 B,付与自身回避状态(1次),,自身,,,,,1.0,,,6,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
182,伊什塔尔(Rider),技能2,回避,未强化,,加速过弯 B,暴击威力提升(1回合),,自身,,,,,,1.0,,6,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
182,伊什塔尔(Rider),技能3,无敌,未强化,,夏日破坏者！ A,付与自身无敌状态(1次),,自身,,,,,1.0,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
182,伊什塔尔(Rider),技能3,无敌,未强化,,夏日破坏者！ A,暴击威力提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
182,伊什塔尔(Rider),技能3,无敌,未强化,,夏日破坏者！ A,暴击星掉落率提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
182,伊什塔尔(Rider),技能3,无敌,未强化,,夏日破坏者！ A,NP获得量提升(1回合),状态[NP获得量提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
182,伊什塔尔(Rider),技能3,无敌,未强化,,夏日破坏者！ A,弱化耐性提升(1回合),状态[弱化状态耐性提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
182,伊什塔尔(Rider),技能3,无敌,未强化,,夏日破坏者！ A,HP回复量提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
182,伊什塔尔(Rider),技能3,无敌,未强化,,夏日破坏者！ A,1回合后付与自身晕眩状态(1回合)【负面效果】,状态[付与特性[晕眩]],自身,,,,,,1.0,1.0,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
