序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
189,刑部姬,技能1,加防,强化前,,变化 A+,自身的防御力大幅度提升(1回合),状态[防御力提升],自身,,,,,,1.0,,7,幅度,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
189,刑部姬,技能1,加防,强化前,,变化 A+,防御力提升(3回合),状态[防御力提升],自身,,,,,,3.0,,7,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
189,刑部姬,技能1,加防,强化前,,变化 A+,弱化状态耐性提升(3回合),状态[弱化状态耐性提升],自身,,,,,,3.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
189,刑部姬,技能1,加防,强化后,幕间物语活动 第9弹,四神地相（白鹭） A,自身的防御力大幅度提升(1回合),状态[防御力提升],自身,,,,,,1.0,,7,幅度,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
189,刑部姬,技能1,加防,强化后,幕间物语活动 第9弹,四神地相（白鹭） A,防御力提升(3回合),状态[防御力提升],自身,,,,,,3.0,,7,幅度,10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
189,刑部姬,技能1,加防,强化后,幕间物语活动 第9弹,四神地相（白鹭） A,弱化状态耐性提升(3回合),状态[弱化状态耐性提升],自身,,,,,,3.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
189,刑部姬,技能1,加防,强化后,幕间物语活动 第9弹,四神地相（白鹭） A,己方全体的暴击威力提升(3回合),,己方全体,,,,,,3.0,,7,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
189,刑部姬,技能2,充能,未强化,,千代纸操法 EX,增加己方单体的NP,效果[NP增加],己方单体,,,,,,,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
189,刑部姬,技能2,充能,未强化,,千代纸操法 EX,暴击星掉落率提升(3回合),,己方单体,,,,,,3.0,,7,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
189,刑部姬,技能3,降防,未强化,,城中妖怪 A++,敌方单体的防御力下降(1回合),状态[防御力下降],敌方单体,,,,,,1.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
189,刑部姬,技能3,降防,未强化,,城中妖怪 A++,解除强化状态,效果[解除强化状态],敌方单体,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
