序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
196,埃列什基伽勒,技能1,无敌,未强化,,隐藏的大王冠 A,付与自身各种随机效果,,自身,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
196,埃列什基伽勒,技能1,无敌,未强化,,隐藏的大王冠 A,一定概率付与自身弱化无效状态(1回合),状态[弱化无效],自身,,,,,,1.0,,8,概率,60%,62%,64%,66%,68%,70%,72%,74%,76%,80%
196,埃列什基伽勒,技能1,无敌,未强化,,隐藏的大王冠 A,一定概率付与自身即死无效状态(1回合),,自身,,,,,,1.0,,8,概率,60%,62%,64%,66%,68%,70%,72%,74%,76%,80%
196,埃列什基伽勒,技能1,无敌,未强化,,隐藏的大王冠 A,一定概率付与自身强化解除耐性提升100%的状态(1回合),状态[强化解除耐性提升],自身,,,,100%,,1.0,,8,概率,60%,62%,64%,66%,68%,70%,72%,74%,76%,80%
196,埃列什基伽勒,技能1,无敌,未强化,,隐藏的大王冠 A,付与自身无敌状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
196,埃列什基伽勒,技能2,红放,未强化,,魔力放出（槛） A+,自身的Buster指令卡性能提升(1回合),状态[Buster指令卡性能提升],自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
196,埃列什基伽勒,技能2,红放,未强化,,魔力放出（槛） A+,NP增加,效果[NP增加],自身,,,,,,,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
196,埃列什基伽勒,技能3,冥界守护,未强化,,冥界佑护 EX,付与己方全体[冥界佑护]状态(3回合),状态[付与特性[冥界佑护]],己方全体,,,,,,3.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
196,埃列什基伽勒,技能3,冥界守护,未强化,,冥界佑护 EX,防御力提升(3回合),状态[防御力提升],己方全体,,,,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
196,埃列什基伽勒,技能3,冥界守护,未强化,,冥界佑护 EX,NP获得量提升(3回合),状态[NP获得量提升],己方全体,,,,,,3.0,,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
196,埃列什基伽勒,技能3,冥界守护,未强化,,冥界佑护 EX,最大HP提升(3回合),,己方全体,,,,,,3.0,,8,幅度,2000,2100,2200,2300,2400,2500,2600,2700,2800,3000
