序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
226,项羽,技能1,回避,强化前,,未来预知 A,付与自身回避状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
226,项羽,技能1,回避,强化前,,未来预知 A,暴击威力提升(1回合),,自身,,,,,,1.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
226,项羽,技能1,回避,强化后,幕间物语活动 第12弹,未来预知 A++,付与自身回避状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
226,项羽,技能1,回避,强化后,幕间物语活动 第12弹,未来预知 A++,暴击威力提升(1回合),,自身,,,,,,1.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
226,项羽,技能1,回避,强化后,幕间物语活动 第12弹,未来预知 A++,暴击星集中度提升(1回合),,自身,,,,,,1.0,,8,幅度,3000%,3200%,3400%,3600%,3800%,4000%,4200%,4400%,4600%,5000%
226,项羽,技能2,红绿放,未强化,,战术躯体 B,自身的Quick指令卡性能提升(3回合),状态[Quick指令卡性能提升],自身,,,,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
226,项羽,技能2,红绿放,未强化,,战术躯体 B,Buster指令卡性能提升(3回合),状态[Buster指令卡性能提升],自身,,,,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
226,项羽,技能2,红绿放,未强化,,战术躯体 B,暴击威力提升(1回合),,自身,,,,,,1.0,,7,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
226,项羽,技能3,回合出星,未强化,,霸王之武 A,付与自身每回合获得暴击星状态(3回合),,自身,,,,,,3.0,,7,幅度,5,6,6,7,7,8,8,9,9,10
226,项羽,技能3,回合出星,未强化,,霸王之武 A,付与无敌贯通状态(3回合),,自身,,,,,,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
