序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
234,红阎魔,技能1,回避,未强化,,心眼（伪） A,付与自身回避状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
234,红阎魔,技能1,回避,未强化,,心眼（伪） A,暴击威力提升(3回合),,自身,,,,,,3.0,,8,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
234,红阎魔,技能2,星之笼(大),未强化,,星之笼（大） EX,敌方全体的防御力下降(3回合),状态[防御力下降],敌方全体,,,,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
234,红阎魔,技能2,星之笼(大),未强化,,星之笼（大） EX,暴击发生率下降(3回合),状态[付与特性[暴击发生率下降]],敌方全体,,,,,,3.0,,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
234,红阎魔,技能2,星之笼(大),未强化,,星之笼（大） EX,付与宝具封印状态(1回合),状态[付与特性[宝具封印]],敌方全体,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
234,红阎魔,技能2,星之笼(大),未强化,,星之笼（大） EX,HP回复【负面效果】,,敌方全体,,,,,,,,8,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
234,红阎魔,技能3,星之笼(小),未强化,,星之笼（小） EX,己方全体的攻击力提升(3回合),状态[攻击力提升],己方全体,,,,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
234,红阎魔,技能3,星之笼(小),未强化,,星之笼（小） EX,强化解除耐性提升(1回合),状态[强化解除耐性提升],己方全体,,,,,,1.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
234,红阎魔,技能3,星之笼(小),未强化,,星之笼（小） EX,增加NP,效果[NP增加],己方全体,,,,,,,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
234,红阎魔,技能3,星之笼(小),未强化,,星之笼（小） EX,回复HP,,己方全体,,,,,,,,8,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
234,红阎魔,技能3,星之笼(小),未强化,,星之笼（小） EX,敌方全体HP回复【负面效果】,,敌方全体,,,,,,,,8,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
