序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
250,织田信长(Avenger),技能1,加攻,未强化,,无可奈何 A-,付与自身攻击力每回合提升状态(3回合)第一回合提升,状态[每回合攻击力提升],自身,,,,,,,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
250,织田信长(Avenger),技能1,加攻,未强化,,无可奈何 A-,后续每回合额外提升,,自身,,,,,,,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
250,织田信长(Avenger),技能1,加攻,未强化,,无可奈何 A-,付与使场地具有[燃烧]特性的状态(3回合),效果[改变场地[燃烧]],自身,,,,,,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
250,织田信长(Avenger),技能1,加攻,未强化,,无可奈何 A-,付与灼伤状态(3回合)【负面效果】,状态[付与特性[灼伤]],自身,,,,,,3.0,,7,幅度,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
250,织田信长(Avenger),技能2,无敌,强化前,,如梦似幻 B,付与自身无敌状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
250,织田信长(Avenger),技能2,无敌,强化前,,如梦似幻 B,强化解除耐性提升(1回合),状态[强化解除耐性提升],自身,,,,,,1.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
250,织田信长(Avenger),技能2,无敌,强化后,复刻:ALL信长总进击 唠唠叨叨最终本能寺2019 轻量版,如梦似幻 B++,付与自身无敌状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
250,织田信长(Avenger),技能2,无敌,强化后,复刻:ALL信长总进击 唠唠叨叨最终本能寺2019 轻量版,如梦似幻 B++,强化解除耐性提升(1回合),状态[强化解除耐性提升],自身,,,,,,1.0,,8,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
250,织田信长(Avenger),技能2,无敌,强化后,复刻:ALL信长总进击 唠唠叨叨最终本能寺2019 轻量版,如梦似幻 B++,在有[燃烧]的场地上时付与对[天]的特攻状态(3回合),状态[特攻[天]],自身,,燃烧,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
250,织田信长(Avenger),技能3,回合出星,未强化,,第六天魔王 EX,付与自身每回合获得暴击星状态(3回合),,自身,,,,,,3.0,,7,幅度,5,6,6,7,7,8,8,9,9,10
250,织田信长(Avenger),技能3,回合出星,未强化,,第六天魔王 EX,NP增加,效果[NP增加],自身,,,,,,,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
