序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
265,阿尔托莉雅·潘德拉贡(Ruler),技能1,充能,未强化,,皇家兔女郎 A,自身的NP增加,效果[NP增加],自身,,,,,,,,8,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
265,阿尔托莉雅·潘德拉贡(Ruler),技能1,充能,未强化,,皇家兔女郎 A,付与回避状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
265,阿尔托莉雅·潘德拉贡(Ruler),技能1,充能,未强化,,皇家兔女郎 A,付与「1回合后自身攻击力提升的状态(1回合)」(1次),状态[攻击力提升],自身,,,,,1.0,1.0,1.0,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
265,阿尔托莉雅·潘德拉贡(Ruler),技能2,洗牌,强化前,,皇家卡牌 C+,指令卡重新抽取,,自身,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
265,阿尔托莉雅·潘德拉贡(Ruler),技能2,洗牌,强化前,,皇家卡牌 C+,己方全体暴击威力提升(3回合),,己方全体,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
265,阿尔托莉雅·潘德拉贡(Ruler),技能2,洗牌,强化后,复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,皇家卡牌 B+,付与己方单体无法抽出其指令卡的状态(1次·1回合),,己方单体,,,,,1.0,1.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
265,阿尔托莉雅·潘德拉贡(Ruler),技能2,洗牌,强化后,复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,皇家卡牌 B+,指令卡重新抽取,,己方单体,,,,,,,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
265,阿尔托莉雅·潘德拉贡(Ruler),技能2,洗牌,强化后,复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,皇家卡牌 B+,己方全体暴击威力提升(3回合),,己方全体,,,,,,3.0,,7,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
265,阿尔托莉雅·潘德拉贡(Ruler),技能2,洗牌,强化后,复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版,皇家卡牌 B+,NP获得量提升(1回合),状态[NP获得量提升],己方全体,,,,,,1.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
265,阿尔托莉雅·潘德拉贡(Ruler),技能3,加攻,未强化,,狮子骑士 B,自身的攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,8,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
265,阿尔托莉雅·潘德拉贡(Ruler),技能3,加攻,未强化,,狮子骑士 B,暴击星集中度提升(1回合),,自身,,,,,,1.0,,8,幅度,300%,320%,340%,360%,380%,400%,420%,440%,460%,500%
