序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
267,冲田·J·总司,技能1,暴击威力提升,未强化,,喷射天然理心流 A+,自身暴击威力提升(1回合),,自身,,,,,,1.0,,6,幅度,50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
267,冲田·J·总司,技能1,暴击威力提升,未强化,,喷射天然理心流 A+,暴击星集中度提升(1回合),,自身,,,,,,1.0,,6,幅度,400%,440%,480%,520%,560%,600%,640%,680%,720%,800%
267,冲田·J·总司,技能1,暴击威力提升,未强化,,喷射天然理心流 A+,解除一个防御强化状态【负面效果】,效果[解除防御强化状态],自身,,,,,,,,6,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
267,冲田·J·总司,技能2,回避,未强化,,心眼（J） A-,付与自身回避状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
267,冲田·J·总司,技能2,回避,未强化,,心眼（J） A-,付与必中状态(1回合),,自身,,,,,,1.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
267,冲田·J·总司,技能2,回避,未强化,,心眼（J） A-,宝具威力提升(3回合),状态[宝具威力提升],自身,,,,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
267,冲田·J·总司,技能3,绿放,未强化,,M·DRIVE EX,自身的Quick指令卡性能提升(3回合),状态[Quick指令卡性能提升],自身,,,,,,3.0,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
267,冲田·J·总司,技能3,绿放,未强化,,M·DRIVE EX,付与防御力每回合缓缓下降的状态(3回合)【负面效果】,,自身,,,,,,3.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
267,冲田·J·总司,技能3,绿放,未强化,,M·DRIVE EX,初始下降,,自身,,,,,,,,8,幅度,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
267,冲田·J·总司,技能3,绿放,未强化,,M·DRIVE EX,每回合下降,,自身,,,,,,,,8,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
