序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
268,宇宙伊什塔尔,技能1,加攻,未强化,,恶魔的蜜糖 A,自身的攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
268,宇宙伊什塔尔,技能1,加攻,未强化,,恶魔的蜜糖 A,除自身以外的己方全体的攻击力提升(3回合),状态[攻击力提升],除自身以外己方全体,,,,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
268,宇宙伊什塔尔,技能1,加攻,未强化,,恶魔的蜜糖 A,付与魅惑无效状态(3回合),,除自身以外己方全体,,,,,,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
268,宇宙伊什塔尔,技能2,宝具威力提升,未强化,,金星驱动 B,自身的宝具威力提升(1次·3回合),状态[宝具威力提升],自身,,,,,1.0,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
268,宇宙伊什塔尔,技能2,宝具威力提升,未强化,,金星驱动 B,付与无敌状态(1次·3回合),,自身,,,,,1.0,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
268,宇宙伊什塔尔,技能2,宝具威力提升,未强化,,金星驱动 B,宝具指令卡的类型变化(3回合),效果[宝具指令卡类型变化],自身,,,,,,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
268,宇宙伊什塔尔,技能3,充能,未强化,,多重星环 EX,自身的NP增加,效果[NP增加],自身,,,,,,,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
268,宇宙伊什塔尔,技能3,充能,未强化,,多重星环 EX,(80%概率)一定概率Quick指令卡性能提升(3回合),状态[Quick指令卡性能提升],自身,,,80%,,,3.0,,8,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
268,宇宙伊什塔尔,技能3,充能,未强化,,多重星环 EX,(80%概率)一定概率Arts指令卡性能提升(3回合),状态[Arts指令卡性能提升],自身,,,80%,,,3.0,,8,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
268,宇宙伊什塔尔,技能3,充能,未强化,,多重星环 EX,(80%概率)一定概率Buster指令卡性能提升(3回合),状态[Buster指令卡性能提升],自身,,,80%,,,3.0,,8,幅度,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
