序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
269,灾星简,技能1,降攻,未强化,,破坏工作 B,敌方全体的攻击力下降(3回合),状态[攻击力下降],敌方全体,,,,,,3.0,,7,幅度,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
269,灾星简,技能1,降攻,未强化,,破坏工作 B,暴击发生率下降(3回合),状态[付与特性[暴击发生率下降]],敌方全体,,,,,,3.0,,7,幅度,9%,10%,11%,12%,13%,14%,15%,16%,17%,19%
269,灾星简,技能2,灭气,未强化,,银河传令 EX,敌方全体的充能减少1格,,敌方全体,,,,,,,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
269,灾星简,技能2,灭气,未强化,,银河传令 EX,自身的攻击力提升(3回合),状态[攻击力提升],自身,,,,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
269,灾星简,技能2,灭气,未强化,,银河传令 EX,(80%概率)一定概率除自身以外的己方全体的攻击力提升(3回合),状态[攻击力提升],除自身以外己方全体,,,80%,,,3.0,,8,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
269,灾星简,技能2,灭气,未强化,,银河传令 EX,己方全体的NP少量增加,效果[NP增加],己方全体,,,,,,,,8,幅度,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
269,灾星简,技能3,弱化耐性提升,未强化,,"极星啊,指引道路吧 B",己方单体的强化成功率提升(3回合),状态[强化成功率提升],己方单体,,,,,,3.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
269,灾星简,技能3,弱化耐性提升,未强化,,"极星啊,指引道路吧 B",暴击威力提升(3回合),,己方单体,,,,,,3.0,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
269,灾星简,技能3,弱化耐性提升,未强化,,"极星啊,指引道路吧 B",暴击星集中度提升(3回合),,己方单体,,,,,,3.0,,7,幅度,500%,600%,700%,800%,900%,1000%,1100%,1200%,1300%,1500%
269,灾星简,技能3,弱化耐性提升,未强化,,"极星啊,指引道路吧 B",付与回避状态(1回合),,己方单体,,,,,,1.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
269,灾星简,技能3,弱化耐性提升,未强化,,"极星啊,指引道路吧 B",付与无敌贯通状态(3回合),,己方单体,,,,,,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
269,灾星简,技能3,弱化耐性提升,未强化,,"极星啊,指引道路吧 B",NP增加,效果[NP增加],己方单体,,,,,,,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
