序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
280,罗穆路斯·奎里努斯,技能1,加攻,未强化,, 奎里努斯的玉座 EX,己方全体攻击力提升(3回合),状态[攻击力提升],己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
280,罗穆路斯·奎里努斯,技能1,加攻,未强化,, 奎里努斯的玉座 EX,暴击威力提升(3回合),,己方全体,,,,,,3.0,,7,幅度,10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
280,罗穆路斯·奎里努斯,技能1,加攻,未强化,, 奎里努斯的玉座 EX,持有[罗马]特性的己方全体暴击威力提升(3回合),,己方全体,,,,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
280,罗穆路斯·奎里努斯,技能1,加攻,未强化,, 奎里努斯的玉座 EX,(500%概率)付与敌方全体[罗马]特性(5回合),状态[付与特性[罗马]],敌方全体,,,500%,,,5.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
280,罗穆路斯·奎里努斯,技能2,无敌,未强化,,神格转变 B,付与自身无敌状态(2次・3回合),,自身,,,,,2.0,3.0,,8,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
280,罗穆路斯·奎里努斯,技能2,无敌,未强化,,神格转变 B,NP增加,效果[NP增加],自身,,,,,,,,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
280,罗穆路斯·奎里努斯,技能2,无敌,未强化,,神格转变 B,获得暴击星,,自身,,,,,,,,8,幅度,10,10,10,10,10,10,10,10,10,10
280,罗穆路斯·奎里努斯,技能3,红放,未强化,,射杀百头·罗马式 A,自身的Buster指令卡性能提升(3回合),状态[Buster指令卡性能提升],自身,,,,,,3.0,,7,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
280,罗穆路斯·奎里努斯,技能3,红放,未强化,,射杀百头·罗马式 A,暴击星集中度提升(1回合),,自身,,,,,,1.0,,7,幅度,300%,320%,340%,360%,380%,400%,420%,440%,460%,500%
280,罗穆路斯·奎里努斯,技能3,红放,未强化,,射杀百头·罗马式 A,付与「暴击攻击时对敌方单体付与[罗马]特性(5回合)的状态」(3回合),,敌方单体,,,,,,3.0,,7,幅度,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
